method,bin,lower_bound,upper_bound,count,mean_probability,observed_ct_win_rate,absolute_gap
uncalibrated,1,0.0,0.1,176,0.054598935287107124,0.056818181818181816,0.0022192465310746923
uncalibrated,2,0.1,0.2,201,0.15910353177963799,0.15920398009950248,0.00010044831986449898
uncalibrated,3,0.2,0.3,256,0.252276859653648,0.18359375,0.06868310965364799
uncalibrated,4,0.3,0.4,213,0.3419413541404294,0.3474178403755869,0.005476486235157452
uncalibrated,5,0.4,0.5,399,0.4644089070029725,0.5087719298245614,0.04436302282158894
uncalibrated,6,0.5,0.6,1835,0.5568675277668383,0.5346049046321526,0.022262623134685744
uncalibrated,7,0.6,0.7,468,0.6279192713336048,0.6495726495726496,0.021653378239044785
uncalibrated,8,0.7,0.8,177,0.7523531583742907,0.7796610169491526,0.027307858574861843
uncalibrated,9,0.8,0.9,243,0.8450012766284707,0.8353909465020576,0.009610330126413102
uncalibrated,10,0.9,1.0,204,0.9521298586737876,0.9607843137254902,0.008654455051702592
sigmoid,1,0.0,0.1,169,0.057061334452968036,0.05325443786982249,0.00380689658314555
sigmoid,2,0.1,0.2,189,0.1588482495864511,0.15873015873015872,0.00011809085629238547
sigmoid,3,0.2,0.3,260,0.25041308783728267,0.18461538461538463,0.06579770322189804
sigmoid,4,0.3,0.4,226,0.3409513923294614,0.33185840707964603,0.009092985249815388
sigmoid,5,0.4,0.5,426,0.46467892831637936,0.5046948356807511,0.04001590736437177
sigmoid,6,0.5,0.6,1897,0.5550997847141284,0.5382182393252504,0.016881545388877983
sigmoid,7,0.6,0.7,389,0.6283871039634902,0.6632390745501285,0.03485197058663836
sigmoid,8,0.7,0.8,196,0.7527268623570181,0.7806122448979592,0.027885382540941084
sigmoid,9,0.8,0.9,223,0.8429679521785839,0.852017937219731,0.009049985041147068
sigmoid,10,0.9,1.0,197,0.948988541986515,0.9593908629441624,0.01040232095764737
isotonic,1,0.0,0.1,161,0.015855033596337675,0.055900621118012424,0.04004558752167475
isotonic,2,0.1,0.2,240,0.16993368496168026,0.15,0.01993368496168027
isotonic,3,0.2,0.3,195,0.26060073996288047,0.18461538461538463,0.07598535534749584
isotonic,4,0.3,0.4,197,0.32581597697029546,0.3096446700507614,0.016171306919534056
isotonic,5,0.4,0.5,737,0.47956152141940644,0.4816824966078697,0.00212097518846327
isotonic,6,0.5,0.6,1504,0.5563416249952661,0.5538563829787234,0.0024852420165426548
isotonic,7,0.6,0.7,565,0.6303905634583483,0.6389380530973451,0.008547489638996764
isotonic,8,0.7,0.8,129,0.7693556898332924,0.7751937984496124,0.005838108616320059
isotonic,9,0.8,0.9,283,0.8542663521054971,0.8551236749116607,0.0008573228061636851
isotonic,10,0.9,1.0,161,0.9449520451938904,0.9627329192546584,0.017780874060768004
