iteration,validation_binary_logloss
1,0.6822131986859316
2,0.6744128207973927
3,0.6669761511654447
4,0.66143440112204
5,0.6562396414552418
6,0.6497182653040071
7,0.6436547465738587
8,0.6379502529006198
9,0.6337694093118317
10,0.6285704510334914
11,0.623680948817995
12,0.6189810600539516
13,0.6144994664316704
14,0.6103179835577166
15,0.6063573497459662
16,0.6026050484931916
17,0.599046157037387
18,0.5956759997302125
19,0.5932314677624063
20,0.590133391928817
21,0.5871669930952104
22,0.5843418003132663
23,0.5817128069216082
24,0.5791830027896983
25,0.5768127894226158
26,0.574587485140592
27,0.5724244288909397
28,0.5703419777156651
29,0.5683693801891861
30,0.5665171784597942
31,0.5647128733467036
32,0.5635154295879876
33,0.5618736087140214
34,0.560361878926182
35,0.558917693881292
36,0.557512229341248
37,0.5562048608015604
38,0.5549109545874098
39,0.5536831044912295
40,0.5524919998353668
41,0.5514177579441405
42,0.5506347672280545
43,0.5496255444170691
44,0.5486807915118667
45,0.5477685085406948
46,0.5468743079321493
47,0.5460218124751722
48,0.5452353116191473
49,0.5444354465239577
50,0.5438968203920047
51,0.5432105613451376
52,0.5427450992647338
53,0.5422941633838779
54,0.5416559694922705
55,0.541065852259087
56,0.5406719289791575
57,0.5402905052036536
58,0.5397912942070153
59,0.5392771818004217
60,0.5387705422473806
61,0.5383045830894538
62,0.5378636207214604
63,0.5374074666342225
64,0.5369655875186328
65,0.5365885294539762
66,0.5362734998431667
67,0.5359370909490182
68,0.535614890894064
69,0.535322064758286
70,0.5350273970459973
71,0.5347288428627148
72,0.5344621850264988
73,0.5342004112153557
74,0.5339672028830298
75,0.5337144023440132
76,0.5335140730747532
77,0.5333069460994311
78,0.533089588679436
79,0.5328929591672861
80,0.5327588650472519
81,0.5325852767035492
82,0.532397378776164
83,0.532288301096098
84,0.5321222910852708
85,0.5320035233029846
86,0.5318851191451325
87,0.5317639995410796
88,0.5316604078514716
89,0.5315563712124658
90,0.5314482755356318
91,0.5313345532527173
92,0.5312383550113122
93,0.5311071907182434
94,0.5309958966856644
95,0.5308824978488528
96,0.5307770710473179
97,0.5307023827860544
98,0.5306046285500472
99,0.5305514889990708
100,0.5304959261060147
101,0.5304428429182876
102,0.5303661248567856
103,0.5303025501838755
104,0.5302141699714139
105,0.5301171101894462
106,0.530050510249183
107,0.5299827427799513
108,0.5299088406054071
109,0.5298259097675864
110,0.5298231375680048
111,0.5298232623132705
112,0.5297552379070191
113,0.5296818131789849
114,0.5295963257295369
115,0.5295273267015783
116,0.529487456130291
117,0.529422476785224
118,0.5293787202628101
119,0.5293531460840049
120,0.5293284270344434
121,0.5293088655189331
122,0.5292883698861941
123,0.5292458219006979
124,0.5292058380539689
125,0.5291541357158763
126,0.529104515168903
127,0.529087269609901
128,0.529053412611974
129,0.5290231375482078
130,0.5289907691189693
131,0.5289813953427028
132,0.5289544656748928
133,0.5289582890491216
134,0.5289824493495473
135,0.5289899664272296
136,0.5289717364175552
137,0.5289819375511097
138,0.5289697698632613
139,0.5289637242290411
140,0.5289557981319882
141,0.5289108187952676
142,0.5288929095047712
143,0.5289288656369745
144,0.528869266208207
145,0.528814322978399
146,0.5287636089017512
147,0.5287516148769931
148,0.5287421731976761
149,0.5287796971418167
150,0.5287834243284326
151,0.5287691612384365
152,0.5287625690521764
153,0.528765865819983
154,0.5287623227749294
155,0.5287720690407258
156,0.5287485512910987
157,0.5287306003261547
158,0.5287455476308981
159,0.5287418583285011
160,0.5287059883832941
161,0.5287097457494587
162,0.5287317532036584
163,0.5287100902996409
164,0.5287455366950892
165,0.5287172942439263
166,0.5287253833004374
167,0.52873720289772
168,0.5287509371805035
169,0.5287405271779279
170,0.5287818646274566
171,0.528738121042159
172,0.5287504373715674
173,0.528765163985866
174,0.5287886847230973
175,0.5288526444269464
176,0.5288547468693963
177,0.5288889015193504
178,0.5288788665687946
179,0.5288839673923663
180,0.5288769336332036
181,0.5289056331854994
182,0.528867582534811
183,0.5288861538186856
184,0.5288723513137483
185,0.528807281914745
186,0.5288413627077844
187,0.5288302251385373
188,0.5288512897741948
189,0.5288519321045707
190,0.5288551605074526
191,0.5288499103022596
192,0.5288445967280895
193,0.5288366223357792
194,0.5288277223629035
195,0.5287933751933075
196,0.5288048297923955
197,0.5288010900238961
198,0.5288055017850064
199,0.5288125500354738
200,0.5287856239134161
201,0.5287964138568537
202,0.5288051960577834
203,0.528800349257881
204,0.5288050460270963
205,0.5288343969386858
206,0.5288424689619085
207,0.5288412905611207
208,0.5288446255101196
209,0.5288281253862607
210,0.52886489735013
211,0.5288461686609385
212,0.5288554891754481
