model,split,accuracy,log_loss,brier_score,ece10,auc
xgboost_frozen,train,0.7502193829197235,0.5161161435718142,0.1727772577694808,0.01142570040091603,0.8161697507710125
xgboost_frozen,val,0.7434273422562141,0.5277960858946873,0.1774675412367743,0.011932839019233839,0.8033236207281457
xgboost_frozen,test,0.7441247002398081,0.5231460210364541,0.17565589988309552,0.01544967890679123,0.8098368635821109
lightgbm_baseline,train,0.7533082944294289,0.510153733286873,0.1703240123702261,0.018228239922144257,0.8235542888109877
lightgbm_baseline,val,0.744263862332696,0.5287059883832941,0.17784299202054596,0.013877236394123901,0.8028628624398364
lightgbm_baseline,test,0.746043165467626,0.523798701954496,0.17589401370056693,0.013621860929997832,0.8090699061203482
