metric,point_estimate,ci_lower_95,ci_upper_95,successful_bootstraps,bootstrap_unit
accuracy,0.746043165467626,0.7337028438367758,0.7584992962982379,2000,series_id
auc,0.8090699061203482,0.7972251587584118,0.8209704600238388,2000,series_id
log_loss,0.523798701954496,0.5106420373307147,0.5367264462585568,2000,series_id
brier_score,0.17589401370056693,0.17024453122381583,0.18136158123207377,2000,series_id
ece10,0.013621860929997832,0.011536929123970375,0.030237267910869677,2000,series_id
