metric,lightgbm,xgboost,raw_difference_lightgbm_minus_xgboost,performance_advantage_lightgbm,performance_advantage_ci_lower_95,performance_advantage_ci_upper_95,ci_includes_zero,lightgbm_significantly_better,successful_bootstraps,bootstrap_unit
accuracy,0.746043165467626,0.7441247002398081,0.0019184652278178005,0.0019184652278178005,-0.0011977248632964344,0.005376720699928713,True,False,2000,series_id_paired
auc,0.8090699061203482,0.8098368635821109,-0.0007669574617626962,-0.0007669574617626962,-0.0027725825666158137,0.001374143794765234,True,False,2000,series_id_paired
log_loss,0.523798701954496,0.5231460210364541,0.0006526809180418258,-0.0006526809180418258,-0.002178162501329642,0.0009677923827463027,True,False,2000,series_id_paired
brier_score,0.17589401370056693,0.17565589988309552,0.00023811381747140814,-0.00023811381747140814,-0.0007930553064073483,0.0003357827815685927,True,False,2000,series_id_paired
ece10,0.013621860929997832,0.01544967890679123,-0.0018278179767933986,0.0018278179767933986,-0.004900532936660629,0.0067651732553818365,True,False,2000,series_id_paired
