shap_rank,feature,mean_abs_shap,mean_signed_shap,max_abs_shap
1,first_kill_advantage_ct,0.8863421602339572,-0.0263682471691457,1.3117036300678195
2,eq_value_diff_ct,0.35073431694446383,-0.02991699264493396,1.2403577116906261
3,ct_eq_value,0.12518524302039785,0.005101504051870274,1.2277043308908067
4,t_eq_value,0.10392917852488334,-0.01759313378136647,1.3257453630071305
5,helmet_diff_ct,0.08113230120101983,-0.006718494444385592,0.37478754206734777
6,rifle_diff_ct,0.059652231039834476,-0.0074619512985920075,0.26462141569120917
7,ct_armor,0.05200532534182431,0.007334993393017505,0.3878913631495419
8,grenade_diff_ct,0.04586388227602029,-0.004064083270831489,0.2845138072620636
9,armor_diff_ct,0.037516032654606735,-0.0034795334327866415,0.27190380496652716
10,first_kill_weapon_AK-47,0.035144723506407675,-0.00010417008413993634,0.0630038425266794
11,score_diff_ct,0.03164931761324133,0.00023563317842802305,0.11608361608114236
12,map_name_de_inferno,0.028806711549626555,-0.006052828163947096,0.13657484628677768
13,ct_m4a1_s,0.028396507878360164,-0.0017690403341944464,0.07809448791131705
14,first_kill_time,0.025324343879062506,-0.0002619137942765059,0.118045746838036
15,t_armor,0.023036103839120296,-0.004116648948152013,0.18747434129324145
16,smg_diff_ct,0.018446063386957763,-0.0010324220933883637,0.13659193572609835
17,map_name_de_overpass,0.015152978239616251,-0.0001851927150287555,0.10000575637613705
18,t_grenades,0.010571856045227106,-9.903627410469809e-05,0.09748842658736606
19,ct_grenades,0.009533353147889438,0.001764002101501756,0.05791018835383746
20,cash_diff_ct,0.00735247212428506,-0.000866457887689748,0.04826605294838559
21,map_name_de_dust2,0.006725411906611306,0.0009883128299918837,0.05644903099832167
22,t_score,0.006430228079550924,-9.304318668562972e-05,0.03694542457415575
23,ct_cash,0.005705754182872951,0.0029286151911346436,0.14403743887216097
24,t_cash,0.00507455124509569,-0.0013900628493991923,0.052876003287719506
25,ct_m4a4,0.0042362468604100955,-0.00015214692867892088,0.10140814813485091
26,t_rifles,0.004050958716042621,-0.0006583404248812861,0.014633800991901837
27,first_kill_headshot,0.003944406097209401,0.00032516567073933444,0.022883868445403403
28,ct_helmets,0.0036117698166204,0.0006327055159910612,0.009671150561044239
