feature,lightgbm_gain_rank,lightgbm_permutation_rank,lightgbm_shap_rank,lightgbm_mean_rank,xgboost_gain_rank,xgboost_permutation_rank,xgboost_shap_rank,xgboost_mean_rank,gain_rank_difference_lgbm_minus_xgb,permutation_rank_difference_lgbm_minus_xgb,shap_rank_difference_lgbm_minus_xgb,mean_rank_difference_lgbm_minus_xgb
first_kill_advantage_ct,1,1,1,1.0,1,1,1,1.0,0,0,0,0.0
eq_value_diff_ct,2,2,2,2.0,2,2,2,2.0,0,0,0,0.0
ct_eq_value,3,3,3,3.0,9,3,3,5.0,-6,0,0,-2.0
t_eq_value,6,4,4,4.666666666666667,11,5,5,7.0,-5,-1,-1,-2.333333333333333
helmet_diff_ct,4,6,5,5.0,3,4,4,3.6666666666666665,1,2,1,1.3333333333333335
ct_armor,10,8,7,8.333333333333334,6,8,7,7.0,4,0,0,1.333333333333334
rifle_diff_ct,7,14,6,9.0,5,12,8,8.333333333333334,2,2,-2,0.6666666666666661
armor_diff_ct,9,12,9,10.0,4,6,6,5.333333333333333,5,6,3,4.666666666666667
score_diff_ct,13,7,11,10.333333333333334,18,11,10,13.0,-5,-4,1,-2.666666666666666
map_name_de_inferno,15,5,12,10.666666666666666,15,7,11,11.0,0,-2,1,-0.3333333333333339
ct_m4a1_s,14,9,13,12.0,12,9,9,10.0,2,0,4,2.0
first_kill_time,12,10,14,12.0,21,13,13,15.666666666666666,-9,-3,1,-3.666666666666666
t_armor,11,20,15,15.333333333333334,10,71,19,33.333333333333336,1,-51,-4,-18.0
ct_grenades,16,13,19,16.0,16,15,25,18.666666666666668,0,-2,-6,-2.666666666666668
map_name_de_overpass,21,11,17,16.333333333333332,19,10,15,14.666666666666666,2,1,2,1.666666666666666
t_cash,20,16,24,20.0,37,69,28,44.666666666666664,-17,-53,-4,-24.666666666666664
map_name_de_dust2,26,15,21,20.666666666666668,34,17,17,22.666666666666668,-8,-2,4,-2.0
t_score,23,18,22,21.0,28,76,21,41.666666666666664,-5,-58,1,-20.666666666666664
ct_cash,22,30,23,25.0,40,22,26,29.333333333333332,-18,8,-3,-4.333333333333332
ct_helmets,29,19,28,25.333333333333332,24,29,34,29.0,5,-10,-6,-3.666666666666668
ct_score,24,22,32,26.0,30,73,33,45.333333333333336,-6,-51,-1,-19.333333333333336
ct_smgs,28,17,36,27.0,26,19,36,27.0,2,-2,0,0.0
first_kill_headshot,32,27,27,28.666666666666668,23,18,18,19.666666666666668,9,9,9,9.0
grenade_diff_ct,5,74,8,29.0,8,25,12,15.0,-3,49,-4,14.0
ct_ak47,38,21,29,29.333333333333332,44,26,42,37.333333333333336,-6,-5,-13,-8.000000000000004
t_ak47,35,23,30,29.333333333333332,29,72,29,43.333333333333336,6,-49,1,-14.000000000000004
t_rifles,34,31,26,30.333333333333332,7,79,23,36.333333333333336,27,-48,3,-6.0000000000000036
first_kill_weapon_USP-S,30,32,35,32.333333333333336,75,59,75,69.66666666666667,-45,-27,-40,-37.333333333333336
first_kill_weapon_AK-47,8,82,10,33.333333333333336,27,77,27,43.666666666666664,-19,5,-17,-10.333333333333329
first_kill_weapon_Desert Eagle,37,24,45,35.333333333333336,41,21,32,31.333333333333332,-4,3,13,4.0000000000000036
map_name_de_ancient,43,26,38,35.666666666666664,46,28,39,37.666666666666664,-3,-2,-1,-2.0
t_grenades,18,73,18,36.333333333333336,17,16,22,18.333333333333332,1,57,-4,18.000000000000004
smg_diff_ct,17,79,16,37.333333333333336,14,14,14,14.0,3,65,2,23.333333333333336
map_name_de_mirage,47,25,41,37.666666666666664,20,30,40,30.0,27,-5,1,7.666666666666664
cash_diff_ct,19,81,20,40.0,33,82,16,43.666666666666664,-14,-1,4,-3.6666666666666643
first_kill_weapon_Galil AR,48,29,44,40.333333333333336,57,41,57,51.666666666666664,-9,-12,-13,-11.333333333333329
ct_rifles,33,63,31,42.333333333333336,22,24,35,27.0,11,39,-4,15.333333333333336
t_m4a1_s,49,28,50,42.333333333333336,31,78,45,51.333333333333336,18,-50,5,-9.0
first_kill_weapon_M4A1,25,72,33,43.333333333333336,60,44,60,54.666666666666664,-35,28,-27,-11.333333333333329
ct_m4a4,27,80,25,44.0,35,81,24,46.666666666666664,-8,-1,1,-2.6666666666666643
ct_awp,54,33,54,47.0,50,34,50,44.666666666666664,4,-1,4,2.3333333333333357
round_num,31,75,37,47.666666666666664,45,31,38,38.0,-14,44,-1,9.666666666666664
first_kill_weapon_AUG,55,34,55,48.0,51,35,51,45.666666666666664,4,-1,4,2.3333333333333357
ct_defuse_kits,36,77,34,49.0,13,75,30,39.333333333333336,23,2,4,9.666666666666664
first_kill_weapon_CZ75 Auto,56,35,56,49.0,52,36,52,46.666666666666664,4,-1,4,2.3333333333333357
first_kill_weapon_Dual Berettas,57,36,57,50.0,53,37,53,47.666666666666664,4,-1,4,2.3333333333333357
map_name_de_nuke,41,68,42,50.333333333333336,78,62,78,72.66666666666667,-37,6,-36,-22.333333333333336
awp_diff_ct,39,67,46,50.666666666666664,32,27,43,34.0,7,40,3,16.666666666666664
first_kill_weapon_AWP,44,65,43,50.666666666666664,36,20,20,25.333333333333332,8,45,23,25.333333333333332
t_helmets,42,71,39,50.666666666666664,47,32,48,42.333333333333336,-5,39,-9,8.333333333333329
first_kill_weapon_FAMAS,58,37,58,51.0,54,38,54,48.666666666666664,4,-1,4,2.3333333333333357
first_kill_weapon_Five-SeveN,59,38,59,52.0,55,39,55,49.666666666666664,4,-1,4,2.3333333333333357
t_smgs,46,64,47,52.333333333333336,82,66,82,76.66666666666667,-36,-2,-35,-24.333333333333336
map_name_de_train,40,78,40,52.666666666666664,39,80,31,50.0,1,-2,9,2.6666666666666643
first_kill_weapon_G3SG1,60,39,60,53.0,56,40,56,50.666666666666664,4,-1,4,2.3333333333333357
first_kill_weapon_P250,45,66,49,53.333333333333336,48,67,47,54.0,-3,-1,2,-0.6666666666666643
first_kill_weapon_HE Grenade,61,40,61,54.0,38,74,41,51.0,23,-34,20,3.0
first_kill_weapon_Knife,62,41,62,55.0,59,43,59,53.666666666666664,3,-2,3,1.3333333333333357
first_kill_weapon_Glock-18,53,62,53,56.0,49,33,49,43.666666666666664,4,29,4,12.333333333333336
first_kill_weapon_M4A4,63,42,63,56.0,25,68,37,43.333333333333336,38,-26,26,12.666666666666664
t_m4a4,51,69,48,56.0,81,65,81,75.66666666666667,-30,4,-33,-19.66666666666667
