method,feature_count,spearman_rank,top_n,top_overlap_count,top_union_count,top_jaccard
gain,82,0.8181125586356265,10,8,12,0.6666666666666666
permutation_auc,82,0.5121733546652736,10,8,12,0.6666666666666666
tree_shap,82,0.8711158999140194,10,8,12,0.6666666666666666
mean_rank,82,0.8403650852659207,10,9,11,0.8181818181818182
