permutation_rank,feature,baseline_auc,auc_decrease_mean,auc_decrease_std,auc_decrease_min,auc_decrease_max,n_repeats
1,first_kill_advantage_ct,0.808255446182,0.1276472772779513,0.0069689154871475185,0.11215888148731634,0.13943844693650542,20
2,eq_value_diff_ct,0.808255446182,0.02482032072934286,0.0026888951570965794,0.01943577665165641,0.030867385998668118,20
3,ct_eq_value,0.808255446182,0.005119487176176068,0.0010773341636946428,0.003077284223458987,0.006698079793092115,20
4,t_eq_value,0.808255446182,0.0016511780153003973,0.0009947043203855038,-0.0003541932234719658,0.004188173451373123,20
5,map_name_de_inferno,0.808255446182,0.0008946722513591077,0.0005162098283365178,8.924008950761397e-05,0.00216839581830619,20
6,helmet_diff_ct,0.808255446182,0.0007851110174384613,0.0008298849106978754,-0.0008016619410158299,0.0023564456710024606,20
7,score_diff_ct,0.808255446182,0.000724689481383628,0.0005410138249695082,-0.0006213370056283862,0.0015902952901524214,20
8,ct_armor,0.808255446182,0.0006926829583250749,0.0006951619727557472,-0.0007771036218102712,0.001952213430933325,20
9,ct_m4a1_s,0.808255446182,0.0006716700302724421,0.00044412963347029784,-0.00038059629904974024,0.0014020148429096935,20
10,first_kill_time,0.808255446182,0.00037159158200772977,0.00047591984799684554,-0.0003034624232350902,0.001483645312381876,20
11,map_name_de_overpass,0.808255446182,0.0003295138421294308,0.0003505517122092958,-0.0003226017705971751,0.0010723799386432864,20
12,armor_diff_ct,0.808255446182,0.000309400232808249,0.0004760493665238681,-0.0005097292451072821,0.001180644078239701,20
13,ct_grenades,0.808255446182,0.00027748594756832887,0.0001421377382317707,1.2567402785990112e-05,0.0005988540373416118,20
14,rifle_diff_ct,0.808255446182,0.00022717021751520461,0.0009548822360093797,-0.0016377977667380028,0.0022522169359703303,20
15,map_name_de_dust2,0.808255446182,0.00015941001001700816,0.00010350003427625891,-0.00014285332157604191,0.00031406977237535827,20
16,t_cash,0.808255446182,0.0001184737131440572,0.00012264727310621915,-8.68188467690878e-05,0.0003829022445149821,20
17,ct_smgs,0.808255446182,0.00010632714540551592,6.057885514539152e-05,-6.917836396058696e-06,0.00026218599940597276,20
18,t_score,0.808255446182,5.832312568136433e-05,0.0001333255177419751,-0.00019738893183074424,0.0003311337688187699,20
19,ct_helmets,0.808255446182,5.118045960257333e-05,7.372239556262531e-05,-0.00010814884232313027,0.00018286147539925413,20
20,t_armor,0.808255446182,3.665300317111097e-05,0.00037348075236782216,-0.0007458580607552223,0.0007345589279751374,20
21,ct_ak47,0.808255446182,2.5451873073367716e-05,5.0342688166075394e-05,-9.892506046205174e-05,0.00011437489507948317,20
22,ct_score,0.808255446182,2.4829267797726874e-05,6.232568206980417e-05,-0.00011460548962594075,0.00015530542708874773,20
23,t_ak47,0.808255446182,2.4195132794774256e-05,6.13906421689035e-05,-0.00011541257053893084,0.00016153147984510063,20
24,first_kill_weapon_Desert Eagle,0.808255446182,2.2874979015857778e-05,3.4704563523279674e-05,-6.548885121493431e-05,8.647295494912388e-05,20
25,map_name_de_mirage,0.808255446182,1.852250695008606e-05,1.4850909804480914e-05,-8.993187314842999e-06,5.084609751015989e-05,20
26,map_name_de_ancient,0.808255446182,1.698328835200158e-05,3.39490877967407e-05,-3.781750563114361e-05,7.909392946015004e-05,20
27,first_kill_headshot,0.808255446182,1.582455075568867e-05,0.00011999971527630859,-0.0002968904786588844,0.00020419147095340762,20
28,t_m4a1_s,0.808255446182,1.2452105512650302e-05,2.201181670460478e-05,-2.3290049199653495e-05,5.5112096620901774e-05,20
29,first_kill_weapon_Galil AR,0.808255446182,8.52623335798608e-06,2.787983610555749e-05,-4.4735342027091285e-05,5.349793479536569e-05,20
30,ct_cash,0.808255446182,7.771036218073846e-06,0.00012601442579743754,-0.0002949304250134954,0.00028524545405905766,20
31,t_rifles,0.808255446182,4.692599021877131e-06,7.175031021582923e-05,-0.00017686601718946982,0.00014446748340180005,20
32,first_kill_weapon_USP-S,0.808255446182,2.548069739144454e-06,2.0943771110534122e-05,-6.168404119699655e-05,4.16223156487483e-05,20
33,ct_awp,0.808255446182,0.0,0.0,0.0,0.0,20
34,first_kill_weapon_AUG,0.808255446182,0.0,0.0,0.0,0.0,20
35,first_kill_weapon_CZ75 Auto,0.808255446182,0.0,0.0,0.0,0.0,20
36,first_kill_weapon_Dual Berettas,0.808255446182,0.0,0.0,0.0,0.0,20
37,first_kill_weapon_FAMAS,0.808255446182,0.0,0.0,0.0,0.0,20
38,first_kill_weapon_Five-SeveN,0.808255446182,0.0,0.0,0.0,0.0,20
39,first_kill_weapon_G3SG1,0.808255446182,0.0,0.0,0.0,0.0,20
40,first_kill_weapon_HE Grenade,0.808255446182,0.0,0.0,0.0,0.0,20
41,first_kill_weapon_Knife,0.808255446182,0.0,0.0,0.0,0.0,20
42,first_kill_weapon_M4A4,0.808255446182,0.0,0.0,0.0,0.0,20
43,first_kill_weapon_MAC-10,0.808255446182,0.0,0.0,0.0,0.0,20
44,first_kill_weapon_MAG-7,0.808255446182,0.0,0.0,0.0,0.0,20
45,first_kill_weapon_MP5-SD,0.808255446182,0.0,0.0,0.0,0.0,20
46,first_kill_weapon_MP7,0.808255446182,0.0,0.0,0.0,0.0,20
47,first_kill_weapon_MP9,0.808255446182,0.0,0.0,0.0,0.0,20
48,first_kill_weapon_Molotov,0.808255446182,0.0,0.0,0.0,0.0,20
49,first_kill_weapon_Negev,0.808255446182,0.0,0.0,0.0,0.0,20
50,first_kill_weapon_Nova,0.808255446182,0.0,0.0,0.0,0.0,20
51,first_kill_weapon_P2000,0.808255446182,0.0,0.0,0.0,0.0,20
52,first_kill_weapon_P90,0.808255446182,0.0,0.0,0.0,0.0,20
53,first_kill_weapon_PP-Bizon,0.808255446182,0.0,0.0,0.0,0.0,20
54,first_kill_weapon_SCAR-20,0.808255446182,0.0,0.0,0.0,0.0,20
55,first_kill_weapon_SG 553,0.808255446182,0.0,0.0,0.0,0.0,20
56,first_kill_weapon_SSG 08,0.808255446182,0.0,0.0,0.0,0.0,20
57,first_kill_weapon_Tec-9,0.808255446182,0.0,0.0,0.0,0.0,20
58,first_kill_weapon_UMP-45,0.808255446182,0.0,0.0,0.0,0.0,20
59,first_kill_weapon_XM1014,0.808255446182,0.0,0.0,0.0,0.0,20
60,first_kill_weapon_Zeus x27,0.808255446182,0.0,0.0,0.0,0.0,20
61,map_name_de_vertigo,0.808255446182,0.0,0.0,0.0,0.0,20
62,first_kill_weapon_Glock-18,0.808255446182,-4.7271882038790734e-07,3.4569960427346456e-07,-6.917836395947674e-07,2.3059454656859657e-07,20
63,ct_rifles,0.808255446182,-9.166133224547401e-07,9.42308502198094e-05,-0.000214914117367071,0.00018528271813789132,20
64,t_smgs,0.808255446182,-4.058464018985574e-06,1.2754484333959583e-05,-3.2513831060843046e-05,1.4066267338463945e-05,20
65,first_kill_weapon_AWP,0.808255446182,-4.277528838181333e-06,1.4554969041498713e-05,-4.289058565476456e-05,2.4904211025300604e-05,20
66,first_kill_weapon_P250,0.808255446182,-7.37902548904601e-06,2.4739259380320555e-06,-1.2221510966248239e-05,-9.22378186163364e-07,20
67,awp_diff_ct,0.808255446182,-8.139987492566946e-06,2.6916133009989376e-05,-5.2344962062633726e-05,4.173761292214362e-05,20
68,map_name_de_nuke,0.808255446182,-1.0572759958482614e-05,2.5023734622836274e-05,-5.810982572596046e-05,3.827869472416978e-05,20
69,t_m4a4,0.808255446182,-1.2192686647855e-05,1.1325448444756614e-05,-3.943166745690174e-05,6.226052756241884e-06,20
70,t_awp,0.808255446182,-1.3651197154640472e-05,6.456070790756817e-06,-2.9516101956006402e-05,-3.6895127445424336e-06,20
71,t_helmets,0.808255446182,-1.59686723473218e-05,1.401559173962914e-05,-4.231409928856511e-05,1.2336808239421515e-05,20
72,first_kill_weapon_M4A1,0.808255446182,-1.6245385803137502e-05,0.00015978749104859528,-0.0004007733218712728,0.000330787876998917,20
73,t_grenades,0.808255446182,-1.766930712797654e-05,0.00026668889340170185,-0.0006176474928838438,0.0005232190260793246,20
74,grenade_diff_ct,0.808255446182,-1.8557096132110205e-05,0.0006517817008155844,-0.0015809562110179476,0.0010709963713642079,20
75,round_num,0.808255446182,-2.0050195820880967e-05,3.7711372848355406e-05,-8.43976040304506e-05,5.02696111437384e-05,20
76,first_kill_weapon_Incendiary Grenade,0.808255446182,-2.4788913752116225e-05,1.1079941984962447e-05,-4.012345109649651e-05,-6.917836394837451e-07,20
77,ct_defuse_kits,0.808255446182,-3.095731787182143e-05,2.40668110256496e-05,-7.494322762258143e-05,1.3835672791895348e-05,20
78,map_name_de_train,0.808255446182,-4.0734526644770064e-05,4.8300243387484125e-05,-0.00012152332602199944,4.900134113794419e-05,20
79,smg_diff_ct,0.808255446182,-7.34904819795268e-05,0.0002889720941889528,-0.0006177627901571281,0.0003077284223458321,20
