false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.0004570383912248629,0.98243445
0.0,0.015082266910420476,0.97737974
0.0005040322580645161,0.015082266910420476,0.97723436
0.0005040322580645161,0.02056672760511883,0.9765211
0.0010080645161290322,0.02056672760511883,0.97652096
0.0010080645161290322,0.024223034734917732,0.9761578
0.0015120967741935483,0.024223034734917732,0.97563225
0.0015120967741935483,0.025594149908592323,0.97495085
0.0020161290322580645,0.025594149908592323,0.97489387
0.0020161290322580645,0.02696526508226691,0.97454774
0.0025201612903225806,0.02696526508226691,0.9745277
0.0025201612903225806,0.05758683729433273,0.9401231
0.0030241935483870967,0.05758683729433273,0.9400609
0.0030241935483870967,0.07586837294332724,0.91801107
0.004032258064516129,0.07586837294332724,0.91762704
0.004032258064516129,0.09277879341864717,0.8944736
0.005040322580645161,0.09277879341864717,0.8927146
0.005040322580645161,0.09689213893967093,0.8869339
0.005544354838709678,0.09689213893967093,0.8828253
0.005544354838709678,0.09780621572212066,0.8826986
0.006048387096774193,0.09780621572212066,0.8826573
0.006048387096774193,0.1046617915904936,0.87882954
0.00655241935483871,0.1046617915904936,0.87860006
0.00655241935483871,0.10557586837294333,0.87853765
0.007056451612903226,0.10557586837294333,0.8778928
0.007056451612903226,0.10603290676416818,0.8778164
0.007560483870967742,0.10603290676416818,0.8774311
0.007560483870967742,0.10694698354661791,0.87681735
0.008064516129032258,0.10694698354661791,0.8767585
0.008064516129032258,0.11243144424131626,0.8737582
0.008568548387096774,0.11243144424131626,0.87342703
0.008568548387096774,0.11654478976234003,0.870024
0.009072580645161291,0.11654478976234003,0.8698436
0.009072580645161291,0.1170018281535649,0.8695062
0.009576612903225807,0.1170018281535649,0.8692451
0.009576612903225807,0.12294332723948811,0.86478937
0.010584677419354838,0.12294332723948811,0.86462736
0.010584677419354838,0.12477148080438757,0.86129576
0.011088709677419355,0.12477148080438757,0.86050665
0.011088709677419355,0.12842778793418647,0.8562799
0.011592741935483871,0.12842778793418647,0.856246
0.011592741935483871,0.13071297989031078,0.84587276
0.012096774193548387,0.13071297989031078,0.84503174
0.012096774193548387,0.13345521023765997,0.84229654
0.012600806451612902,0.13345521023765997,0.8419755
0.012600806451612902,0.13482632541133455,0.8406443
0.01310483870967742,0.13482632541133455,0.840569
0.01310483870967742,0.136654478976234,0.8393469
0.013608870967741936,0.136654478976234,0.8386664
0.013608870967741936,0.1403107861060329,0.83665437
0.015625,0.1403107861060329,0.83593893
0.015625,0.1430530164533821,0.83291966
0.016129032258064516,0.1430530164533821,0.8327668
0.016129032258064516,0.14396709323583182,0.831529
0.01663306451612903,0.14396709323583182,0.83131266
0.01663306451612903,0.15127970749542963,0.8263628
0.017641129032258066,0.15127970749542963,0.82562363
0.017641129032258066,0.15447897623400367,0.82314837
0.019153225806451613,0.15447897623400367,0.8225389
0.019153225806451613,0.17047531992687387,0.8127205
0.01965725806451613,0.17047531992687387,0.81255114
0.01965725806451613,0.17093235831809872,0.812375
0.020161290322580645,0.17093235831809872,0.812133
0.020161290322580645,0.17138939670932357,0.8114774
0.02066532258064516,0.17138939670932357,0.81116545
0.02066532258064516,0.1736745886654479,0.80879074
0.021169354838709676,0.1736745886654479,0.8086596
0.021169354838709676,0.17595978062157222,0.8078156
0.021673387096774195,0.17595978062157222,0.80728436
0.021673387096774195,0.17778793418647165,0.8066095
0.02217741935483871,0.17778793418647165,0.8065315
0.02217741935483871,0.17870201096892138,0.8061974
0.022681451612903226,0.17870201096892138,0.80595905
0.022681451612903226,0.17915904936014626,0.80588
0.023185483870967742,0.17915904936014626,0.80517966
0.023185483870967742,0.18144424131627057,0.8022482
0.024193548387096774,0.18144424131627057,0.801742
0.024193548387096774,0.18510054844606946,0.7966758
0.02469758064516129,0.18510054844606946,0.7965341
0.02469758064516129,0.18647166361974407,0.7953538
0.025705645161290324,0.18647166361974407,0.79401726
0.025705645161290324,0.18875685557586838,0.790296
0.026713709677419355,0.18875685557586838,0.7887346
0.026713709677419355,0.18921389396709323,0.7880272
0.02721774193548387,0.18921389396709323,0.7866232
0.02721774193548387,0.19012797074954296,0.78620535
0.027721774193548387,0.19012797074954296,0.7857589
0.027721774193548387,0.19469835466179158,0.7790812
0.028225806451612902,0.19469835466179158,0.7789196
0.028225806451612902,0.19789762340036562,0.77528524
0.028729838709677418,0.19789762340036562,0.77488005
0.028729838709677418,0.19926873857404023,0.77394474
