source_subset,rounds,series,ct_win_rate,accuracy,log_loss,brier_score,ece10,auc
online,2317,42,0.5105740181268882,0.6391886059559776,0.5949247404122237,0.20674427679447602,0.025975893240745215,0.7226896018104809
lan,1855,37,0.5417789757412399,0.6576819407008087,0.5877467601642938,0.20348364334077998,0.031124839353352543,0.7316927129060579
