threshold,true_negative,false_positive,false_negative,true_positive,accuracy,precision_ct,recall_ct,specificity_t
0.1,166,1818,10,2178,0.5618408437200384,0.545045045045045,0.9954296160877514,0.08366935483870967
0.2,335,1649,42,2146,0.5946788111217641,0.5654808959156785,0.9808043875685558,0.1688508064516129
0.3,544,1440,89,2099,0.6335091083413231,0.5931053970048036,0.9593235831809872,0.27419354838709675
0.4,683,1301,163,2025,0.6490891658676894,0.6088394467829225,0.9255027422303473,0.3442540322580645
0.5,879,1105,366,1822,0.6474113135186961,0.6224803553126068,0.8327239488117002,0.4430443548387097
0.6,1733,251,1347,841,0.6169702780441035,0.7701465201465202,0.3843692870201097,0.8734879032258065
0.7,1897,87,1651,537,0.5834132310642378,0.8605769230769231,0.24542961608775138,0.9561491935483871
0.8,1936,48,1789,399,0.5596836049856184,0.8926174496644296,0.1823583180987203,0.9758064516129032
0.9,1976,8,1992,196,0.5206136145733461,0.9607843137254902,0.08957952468007313,0.9959677419354839
