metric,point_estimate,ci_lower_95,ci_upper_95,successful_bootstraps,bootstrap_unit
accuracy,0.6474113135186961,0.632426152656276,0.6624483205693616,2000,series_id
auc,0.7271219343412749,0.7131246338311439,0.7409074988377307,2000,series_id
log_loss,0.5917331887919193,0.5801921423210387,0.6038744373663005,2000,series_id
brier_score,0.20529449849711118,0.20085278911777057,0.2098898077153625,2000,series_id
ece10,0.023197745861465936,0.016944442222331206,0.03913355765730888,2000,series_id
