source_subset,rounds,series,ct_win_rate,accuracy,accuracy_ci_lower_95,accuracy_ci_upper_95,accuracy_successful_bootstraps,auc,auc_ci_lower_95,auc_ci_upper_95,auc_successful_bootstraps,log_loss,log_loss_ci_lower_95,log_loss_ci_upper_95,log_loss_successful_bootstraps,brier_score,brier_score_ci_lower_95,brier_score_ci_upper_95,brier_score_successful_bootstraps,ece10,ece10_ci_lower_95,ece10_ci_upper_95,ece10_successful_bootstraps
online,2317,42,0.5105740181268882,0.6391886059559776,0.6223000646356167,0.6567878024997462,2000,0.7226896018104809,0.7023485656136986,0.7431639495930276,2000,0.5949247403728859,0.5779787621221496,0.613395202135306,2000,0.20674427687243943,0.20060045021104567,0.21317491269198685,2000,0.025975893058696537,0.01825286851710565,0.046024200067502165,2000
lan,1855,37,0.5417789757412399,0.6576819407008087,0.63136620779872,0.6824264267320288,2000,0.7316927129060579,0.7125869403699592,0.7477358930272658,2000,0.5877467597611729,0.5736555987264955,0.602029895775148,2000,0.20348364317399367,0.19764116981933552,0.20932019782722633,2000,0.031124839410242598,0.023661198139084592,0.05383466121014692,2000
