,accuracy,log_loss,brier_score,ece10,auc
train,0.6609284061426267,0.5863786362305496,0.20381180655767808,0.009196375777172859,0.7297182715033428
val,0.6503579952267303,0.5960376041155272,0.2075754272830879,0.011285225967909969,0.718595703958588
test,0.6474113135186961,0.5917331887919193,0.20529449849711118,0.023197745861465936,0.7271219343412749
