iteration,logloss
0,0.6864647549846007
1,0.68213724221563
2,0.678240511923815
3,0.6748358640508606
4,0.6712491221601468
5,0.6677956043678138
6,0.6645308754893646
7,0.6613916980622776
8,0.6585191922640175
9,0.6557137956518262
10,0.6530415639992545
11,0.650490072952819
12,0.648090400584131
13,0.6458421984407384
14,0.6438177002571648
15,0.6417952944669063
16,0.639817070299515
17,0.637931723405467
18,0.6361522041954687
19,0.6344545240582885
20,0.6328522145499194
21,0.63135854891348
22,0.6299210905886493
23,0.6285198796015935
24,0.627182878550311
25,0.6258877551463168
26,0.62468584534092
27,0.6234700345907689
28,0.6223603472967136
29,0.6213123220745874
30,0.620329531796081
31,0.6193653070165605
32,0.6183793914631045
33,0.6174331140866712
34,0.6164949293388388
35,0.6156717072701112
36,0.6149183367523487
37,0.6141116206287485
38,0.6133629215147729
39,0.6127149014527018
40,0.612103969447297
41,0.6115165609626326
42,0.6109248444740272
43,0.6103487766390058
44,0.6097783974218483
45,0.6092873902444623
46,0.6087653366506527
47,0.6083073842817104
48,0.6078792451745286
49,0.6074805726655059
50,0.6070546678878669
51,0.6065917783730213
52,0.6062368016023197
53,0.6058687755966955
54,0.6055099749799845
55,0.6051114121527547
56,0.6047707178089812
57,0.6044640107378185
58,0.6041701963771499
59,0.6039023005023492
60,0.6036283384466228
61,0.6033537861306514
62,0.6030605544587309
63,0.6028172320177276
64,0.6025415964922501
65,0.6022851889255081
66,0.6020500607824126
67,0.6018256866562054
68,0.6015974204711669
69,0.601361212875863
70,0.6011976240393939
71,0.6009816803616029
72,0.6008238018857124
73,0.6006644301436539
74,0.6004897271409666
75,0.600313960282501
76,0.6001357599274925
77,0.5999993246502126
78,0.5998678458432238
79,0.5997429670121405
80,0.5996173099741375
81,0.5994955461303345
82,0.5993913609054393
83,0.5992926285622157
84,0.5991880010911275
85,0.599086246235843
86,0.5989919086442571
87,0.5988675969872882
88,0.5987696402014938
89,0.5986659280769082
90,0.5986200801868142
91,0.5985273271781306
92,0.598486047987615
93,0.5983968389462813
94,0.5983106457248223
95,0.5982450917603221
96,0.5981653285570674
97,0.598085268547754
98,0.5980127906857996
99,0.5979540648049984
100,0.5979265989371195
101,0.5978705144627353
102,0.5978046434377998
103,0.5977751244650821
104,0.597749087695468
105,0.5977128771696071
106,0.5976521468799125
107,0.5976160195991752
108,0.5975950981563664
109,0.597575924095202
110,0.5975514227159873
111,0.5975400685468302
112,0.5975068926357782
113,0.5974635186611824
114,0.5974511415179738
115,0.5973902811169589
116,0.5973562649751264
117,0.5972969446269026
118,0.5972604760753439
119,0.5972195643593773
120,0.5972089380043646
121,0.597163682610579
122,0.5971507939467816
123,0.5971343628991048
124,0.5971125511923774
125,0.5970953300524157
126,0.5970810958070942
127,0.5970751846956005
128,0.5970466847395911
129,0.597001818519059
130,0.596991060071387
131,0.5969683692503837
132,0.5969504633478304
133,0.59691127699073
134,0.596868100667679
135,0.5968475270065032
136,0.5968394373403528
137,0.5968042099150453
138,0.5967791302058499
139,0.5967557699861881
140,0.596737371929221
141,0.5967338728387274
142,0.5967330381967714
143,0.5967290032290473
144,0.5967169037110979
145,0.5967111066130473
146,0.5966968394869268
147,0.5966878637715926
148,0.5966514411157882
149,0.5966543804494073
150,0.5966349747018591
151,0.5966334158219041
152,0.5966069124630143
153,0.5965969990167616
154,0.596570227373178
155,0.5965449476025572
156,0.5965240721032913
157,0.5965105090990467
158,0.596499968570188
159,0.5964942996392386
160,0.5964799476758552
161,0.5964524618874533
162,0.5964411239137513
163,0.5964292154336228
164,0.5964172298175356
165,0.5964254291483639
166,0.5964137789142053
167,0.5964064197054662
168,0.5963681505490672
169,0.5963463745111053
170,0.5963313251542626
171,0.5963075507932336
172,0.5963093328774242
173,0.5962978947740982
174,0.5963006185436608
175,0.5962869759522342
176,0.5962984891494998
177,0.5962934032193694
178,0.596289517096775
179,0.596277965234508
180,0.5962579817744528
181,0.5962573674551893
182,0.596220195425901
183,0.596194501515469
184,0.596173619228662
185,0.5961682610744988
186,0.5961551449499437
187,0.5961553410626947
188,0.5961516421743911
189,0.5961530387508271
190,0.596136885930324
191,0.596131836117283
192,0.5961266461213015
193,0.5961196513141912
194,0.5960969790180607
195,0.5960957163949286
196,0.5960919445902909
197,0.5960878261429455
198,0.5960920416478841
199,0.5960911356272767
200,0.5960834750549997
201,0.5960800005091901
202,0.596048870355531
203,0.5960381542121311
204,0.5960403535228338
205,0.5960482916792494
206,0.5960568939580144
207,0.5960614402389469
208,0.5960569076886876
209,0.5960548770080514
210,0.59604753665915
211,0.596046515777796
212,0.5960376040116486
213,0.5960623175328095
214,0.5960616496427158
215,0.5960856977230058
216,0.5960792363988044
217,0.5960652189740471
218,0.5960532857138476
219,0.5960627379887214
220,0.59605160777197
221,0.5960509140575683
222,0.5960484186291855
223,0.5960610895290935
224,0.5960719939472425
225,0.5960659599049475
226,0.5960762422931934
227,0.5960816580273193
228,0.5960733369377337
229,0.5960843124175733
230,0.5961139738004041
231,0.5961016386371719
232,0.5960768314638577
233,0.5960706616049468
234,0.5960554443157516
235,0.5960618754959974
236,0.5960634069290537
237,0.5960790671317044
238,0.5960716875507841
239,0.596064081878528
240,0.5960695614418134
241,0.5960700769770917
242,0.5960769537045022
243,0.5960616665674475
244,0.5960583759456215
245,0.5960503596330154
246,0.5960562784884899
247,0.5960500959531451
248,0.5960553032643915
249,0.596054784336343
250,0.5960650061903997
251,0.5960687691990402
252,0.5960863494894385
253,0.5960833273245675
254,0.5960788445591677
255,0.5960804739526888
256,0.5960896884793581
257,0.596088089473181
258,0.5960941532508943
259,0.5960849767968699
260,0.5960888063701799
261,0.5960743838916743
262,0.5960831741351181
263,0.5961096786184854
264,0.5961114160306441
265,0.5961230695876681
266,0.5961151574357126
267,0.596100522922841
268,0.596102386652792
269,0.5961108270718056
270,0.5961175921510878
271,0.5961290802172027
272,0.5961212202643216
273,0.5961234011197227
274,0.5961463254828646
275,0.5961472769062255
276,0.5961515934562182
277,0.5961417586700479
278,0.5961426236478918
279,0.5961604162178231
280,0.5961417977075784
281,0.5961520116619525
