model,profile,split,accuracy,log_loss,brier_score,ece10,auc
constant_train_prior,canonical_event,train,0.5435782231738566,0.6893442342397442,0.2481009384650096,0.0,0.5
constant_train_prior,canonical_event,val,0.5358508604206501,0.6906946394851702,0.2487744279422187,0.0077273627532064,0.5
constant_train_prior,canonical_event,test,0.5247002398081535,0.6926432805734406,0.2497462764093755,0.0188779833657031,0.5
logistic_regression,canonical_event,train,0.7499034715153217,0.5219518784422466,0.1746028131045709,0.0053536085934339,0.8104671580125625
logistic_regression,canonical_event,val,0.7421128107074569,0.5317253526869095,0.1786279641368148,0.0165561397937265,0.8006054942117115
logistic_regression,canonical_event,test,0.7434052757793765,0.5266419675805064,0.1760703339941788,0.0150166076035009,0.8090589528793879
xgboost_untuned,canonical_event,train,0.758643687037102,0.4920170689815537,0.1635931373345148,0.0338164710132874,0.8412226873721678
xgboost_untuned,canonical_event,val,0.7418738049713193,0.5298345739381326,0.1783341718042183,0.0137986040559626,0.8020687872017316
xgboost_untuned,canonical_event,test,0.7453237410071942,0.5247534331448958,0.1762645347408764,0.0109083502633805,0.8088959225349904
xgboost_tuned,canonical_event,train,0.7502193829197235,0.5161161435718142,0.1727772577694808,0.01142570040091603,0.8161697507710125
xgboost_tuned,canonical_event,val,0.7434273422562141,0.5277960858946873,0.1774675412367743,0.011932839019233839,0.8033236207281457
xgboost_tuned,canonical_event,test,0.7441247002398081,0.5231460210364541,0.17565589988309552,0.01544967890679123,0.8098368635821109
