iteration,val_log_loss
0,0.6834047398392831
1,0.676479490085667
2,0.6700276882168668
3,0.6639629084239385
4,0.6581668632379225
5,0.652753827904652
6,0.6476425437851459
7,0.6442559397001225
8,0.6395193428712866
9,0.6350509660713817
10,0.6307850543046317
11,0.6268094681189119
12,0.6229195552085657
13,0.6192574178653967
14,0.6157744846646861
15,0.6124658268835417
16,0.6093257993538054
17,0.6063584506575794
18,0.6040246150461711
19,0.6012424604956552
20,0.5985872684506055
21,0.5960223400114143
22,0.5935588826961373
23,0.5912564313519981
24,0.5890092380437466
25,0.5869333623315477
26,0.5851857633958526
27,0.5832022221021739
28,0.5812947463892386
29,0.5794268847758353
30,0.5777140926519839
31,0.5760938802032409
32,0.5744866127785773
33,0.5729786300850074
34,0.5714833879554876
35,0.5701550511183862
36,0.5687842572367898
37,0.5674618894579762
38,0.5662573828623696
39,0.5650214424987197
40,0.5638841029780117
41,0.5627991642062169
42,0.5617015828159468
43,0.5607027819960683
44,0.559727840966066
45,0.558734341063332
46,0.5577874591014923
47,0.5568837360933024
48,0.5560461650860725
49,0.5551868195682906
50,0.554421077445007
51,0.5536236727350243
52,0.5528666698685483
53,0.5520997915922684
54,0.5514190056152912
55,0.5507041404102119
56,0.5500805251154315
57,0.5494467403355052
58,0.548803450295748
59,0.5482004596255221
60,0.5475822571989142
61,0.546928367002317
62,0.5463320182789523
63,0.5457933554425836
64,0.5452755491959775
65,0.5447698390453227
66,0.5442925754268556
67,0.5438243184153198
68,0.5433726842741323
69,0.5428971978114565
70,0.5424748490658904
71,0.5420477041657693
72,0.5416490556458528
73,0.541259741590467
74,0.5408916544341918
75,0.5405331651998923
76,0.5401742983338766
77,0.5398499123435146
78,0.5394479935280053
79,0.5391358145865225
80,0.5388316747689723
81,0.5385157445411823
82,0.5381698932144328
83,0.5378680622728673
84,0.5375791817073697
85,0.5373197553107733
86,0.5371068419032083
87,0.5368313757376835
88,0.5365661309656276
89,0.5363420603545757
90,0.5361034460027433
91,0.5358432905800128
92,0.5356429715037175
93,0.5354232568094368
94,0.5352171391122271
95,0.5350238939695573
96,0.5348327081680768
97,0.5346459846883072
98,0.5344511296717631
99,0.5342703784680631
100,0.534073982577429
101,0.5338966367671882
102,0.5337304601857144
103,0.5335723988188299
104,0.5334277491452062
105,0.5332730882071015
106,0.5331409286892835
107,0.5330045760687562
108,0.5328901698527926
109,0.5327459656451802
110,0.5326106570132191
111,0.5324931258253796
112,0.5324032650365678
113,0.5323120011671145
114,0.5322002142950016
115,0.5320832104378524
116,0.5319699193911901
117,0.5318674439859058
118,0.5317584323299689
119,0.5316602574135167
120,0.5315926068014577
121,0.5315041487999118
122,0.5314200004993672
123,0.5313340101260193
124,0.5312599751792927
125,0.5311870455562029
126,0.5310985281552414
127,0.531023972035594
128,0.5309577134511759
129,0.5308810758144447
130,0.5307963233673499
131,0.5307238868644272
132,0.530674462553014
133,0.530611927636648
134,0.530557877693083
135,0.5305155328409051
136,0.5304544478290701
137,0.5303631431532643
138,0.5303140456479285
139,0.5302487841899014
140,0.5301821484153887
141,0.5301609598803574
142,0.5301086290220394
143,0.530035444464531
144,0.5299989113390061
145,0.529951229344708
146,0.5299106487874333
147,0.5298900335798321
148,0.5298254658823324
149,0.5297931219294425
150,0.5297654393933942
151,0.5297218303870139
152,0.5296860336086554
153,0.5296341792789838
154,0.5296012884754702
155,0.5295739476773781
156,0.5295486419584537
157,0.5295296059925836
158,0.5294928704675582
159,0.5294669452604142
160,0.5294377894317073
161,0.5294164035373135
162,0.5293859682018276
163,0.5293651736015543
164,0.5293467317487026
165,0.5293297564188361
166,0.5292811279514997
167,0.5292599755704375
168,0.5292465933157847
169,0.5292416659934378
170,0.5292013112480537
171,0.5291489837942717
172,0.5291193595058579
173,0.5291022092387094
174,0.5290760820505368
175,0.5290347827559722
176,0.5290234386090663
177,0.5290033124822653
178,0.5289823788380247
179,0.5289623389008542
180,0.5289363442149092
181,0.5289252014950018
182,0.5289278236361591
183,0.5288900366800002
184,0.5288581052242135
185,0.5288488027088996
186,0.5288281432180675
187,0.5288131168100139
188,0.5287795036750264
189,0.5287671254079229
190,0.5287577186601617
191,0.5287560933983189
192,0.5287489010756533
193,0.5287408311401688
194,0.5287273518605795
195,0.5287255420686542
196,0.5286941356323909
197,0.5286668724494845
198,0.5286633354797782
199,0.5286423362146914
200,0.5286002490285742
201,0.5285902154339428
202,0.5285665599128897
203,0.5285486322660694
204,0.5285415173704998
205,0.5285334111183319
206,0.5285370136378779
207,0.5285388704043872
208,0.52852229054004
209,0.5285094913607641
