first_kill_weapon_family,rounds,series,ct_win_rate,accuracy,accuracy_ci_lower_95,accuracy_ci_upper_95,accuracy_successful_bootstraps,auc,auc_ci_lower_95,auc_ci_upper_95,auc_successful_bootstraps,log_loss,log_loss_ci_lower_95,log_loss_ci_upper_95,log_loss_successful_bootstraps,brier_score,brier_score_ci_lower_95,brier_score_ci_upper_95,brier_score_successful_bootstraps,ece10,ece10_ci_lower_95,ece10_ci_upper_95,ece10_successful_bootstraps
rifle,2531,79,0.5104701698933228,0.75898854207823,0.7418267626223566,0.7771001185035858,2000,0.8242009560291557,0.8070452177301164,0.8412863625876762,2000,0.5038341683126772,0.4837863127745088,0.5230172096205986,2000,0.16800265019314783,0.15950903342435388,0.1761110370690763,2000,0.01411037620470512,0.013292148611652494,0.03609420843086855,2000
sniper,712,79,0.6292134831460674,0.7275280898876404,0.6901991966393642,0.7591369879721538,2000,0.747556479978355,0.70552368728547,0.7840118706102954,2000,0.5493215177746414,0.5146181006952654,0.5890939297868821,2000,0.18584151686894818,0.17053789540696904,0.2030206255735158,2000,0.020173864746518638,0.021565298211186395,0.0660585369820896,2000
pistol,606,78,0.46204620462046203,0.6716171617161716,0.6246238957404007,0.7188086541001872,2000,0.723323838737949,0.6682188163750715,0.7750140594084167,2000,0.6166432935240701,0.5725938944483318,0.6651590929693734,2000,0.2136004894845318,0.1947145898069862,0.23425858293133006,2000,0.06130209679503253,0.04467552787080246,0.10744755260929528,2000
smg_shotgun,240,70,0.4875,0.7958333333333333,0.7452807510885341,0.8487819058423142,2000,0.8879160586477659,0.8496324866584226,0.9269240523313088,2000,0.4290105993950412,0.3605033160196183,0.49479072826127385,2000,0.13741411574617043,0.11206148988712247,0.1604217473201103,2000,0.061508918526427196,0.04724166955120242,0.11503529304197786,2000
utility_other,81,51,0.6296296296296297,0.8148148148148148,0.7341326439650562,0.8889194139194136,2000,0.842483660130719,0.7636287721919888,0.9188993122586874,2000,0.47591762144057403,0.38380470157646424,0.5802657655449857,2000,0.15469074637349375,0.11622264177093121,0.19744984887714934,2000,0.11907319485405345,0.09376822367917725,0.21104855631012467,2000
