first_kill_time_band,rounds,series,ct_win_rate,accuracy,accuracy_ci_lower_95,accuracy_ci_upper_95,accuracy_successful_bootstraps,auc,auc_ci_lower_95,auc_ci_upper_95,auc_successful_bootstraps,log_loss,log_loss_ci_lower_95,log_loss_ci_upper_95,log_loss_successful_bootstraps,brier_score,brier_score_ci_lower_95,brier_score_ci_upper_95,brier_score_successful_bootstraps,ece10,ece10_ci_lower_95,ece10_ci_upper_95,ece10_successful_bootstraps
normal_15_30,1559,79,0.5439384220654265,0.7633098139833226,0.7448654744586372,0.7812774351922043,2000,0.8187685760157101,0.8000560538922274,0.8369527568860462,2000,0.511869757217118,0.48880058278431354,0.535569911735991,2000,0.16969255009597542,0.16041728372178327,0.17871009090026185,2000,0.019784484424217916,0.016078494232641263,0.047359022644960794,2000
late_30_60,1208,79,0.49834437086092714,0.7433774834437086,0.720518620162829,0.7662010370946933,2000,0.8068703880354814,0.7827531692958697,0.8308324145963009,2000,0.5274668634102533,0.5016144392732286,0.5550464171617175,2000,0.17730927204543123,0.16680738704773607,0.1882856789256601,2000,0.02712277796301398,0.023836850107443238,0.060072508699354106,2000
fast_00_15,792,78,0.5202020202020202,0.7146464646464646,0.6902221468470519,0.7420259284943751,2000,0.791013030148186,0.76437131679698,0.8188926374847342,2000,0.5421860554859018,0.5119566080724669,0.5705555272135681,2000,0.18543592936319406,0.17219473907814228,0.19710154906612193,2000,0.04507995668253059,0.03478064605588546,0.08031374145760939,2000
very_late_60_plus,611,79,0.5335515548281505,0.734860883797054,0.6931986890942115,0.774673285900454,2000,0.8165213647615972,0.7768118556573796,0.8547729757088348,2000,0.5186949742653136,0.48217932501023936,0.5556267482481346,2000,0.1749256304850279,0.15848299211013417,0.19127626618805457,2000,0.06537624775491498,0.04589739574231592,0.10067207523734939,2000
