dimension,value,cases,share
signal_pattern,first_kill_and_equipment_agree,81,0.9
signal_pattern,equipment_only,9,0.1
predicted_side,CT,48,0.5333333333333333
predicted_side,T,42,0.4666666666666667
first_kill_side,CT,53,0.5888888888888889
first_kill_side,T,37,0.4111111111111111
first_kill_time_band,normal_15_30,44,0.4888888888888889
first_kill_time_band,fast_00_15,22,0.24444444444444444
first_kill_time_band,late_30_60,21,0.23333333333333334
first_kill_time_band,very_late_60_plus,3,0.03333333333333333
first_kill_weapon_family,rifle,54,0.6
first_kill_weapon_family,sniper,16,0.17777777777777778
first_kill_weapon_family,smg_shotgun,10,0.1111111111111111
first_kill_weapon_family,pistol,8,0.08888888888888889
first_kill_weapon_family,utility_other,2,0.022222222222222223
first_kill_headshot_label,non_headshot,55,0.6111111111111112
first_kill_headshot_label,headshot,35,0.3888888888888889
