method,bin,lower_bound,upper_bound,count,mean_probability,observed_ct_win_rate,absolute_gap
uncalibrated,1,0.0,0.1,265,0.050763149953113415,0.04905660377358491,0.0017065461795285064
uncalibrated,2,0.1,0.2,287,0.1435397643245471,0.10104529616724739,0.04249446815729971
uncalibrated,3,0.2,0.3,396,0.2636495898995135,0.24494949494949494,0.018700094950018536
uncalibrated,4,0.3,0.4,822,0.3416027781302041,0.35036496350364965,0.00876218537344553
uncalibrated,5,0.4,0.5,197,0.4459815875527822,0.5025380710659898,0.05655648351320758
uncalibrated,6,0.5,0.6,113,0.551147311134676,0.6017699115044248,0.05062260036974886
uncalibrated,7,0.6,0.7,470,0.6702101617417437,0.6531914893617021,0.017018672380041622
uncalibrated,8,0.7,0.8,1060,0.7389758376580364,0.7311320754716981,0.00784376218633831
uncalibrated,9,0.8,0.9,275,0.8542275647683577,0.8545454545454545,0.00031788977709679145
uncalibrated,10,0.9,1.0,285,0.9582221219414159,0.9719298245614035,0.01370770261998766
sigmoid,1,0.0,0.1,273,0.05135900642700827,0.047619047619047616,0.0037399588079606513
sigmoid,2,0.1,0.2,286,0.1431206552947525,0.1048951048951049,0.03822555039964762
sigmoid,3,0.2,0.3,455,0.2644579360776942,0.26153846153846155,0.002919474539232636
sigmoid,4,0.3,0.4,780,0.3393871320028342,0.3576923076923077,0.018305175689473485
sigmoid,5,0.4,0.5,181,0.4451073124124925,0.4972375690607735,0.05213025664828097
sigmoid,6,0.5,0.6,120,0.5515020370073515,0.6,0.048497962992648525
sigmoid,7,0.6,0.7,583,0.6701324971498819,0.6655231560891939,0.004609341060687999
sigmoid,8,0.7,0.8,950,0.7361981013433306,0.7378947368421053,0.0016966354987746346
sigmoid,9,0.8,0.9,266,0.8531906682339119,0.8533834586466166,0.00019279041270470199
sigmoid,10,0.9,1.0,276,0.9577857737011759,0.9746376811594203,0.016851907458244386
isotonic,1,0.0,0.1,266,0.021938431211953473,0.04887218045112782,0.026933749239174343
isotonic,2,0.1,0.2,283,0.1421934955717578,0.0989399293286219,0.04325356624313591
isotonic,3,0.2,0.3,560,0.25897722193936445,0.2839285714285714,0.024951349489206964
isotonic,4,0.3,0.4,695,0.3523363745468611,0.3539568345323741,0.0016204599855129675
isotonic,5,0.4,0.5,85,0.45824287697554417,0.43529411764705883,0.022948759328485335
isotonic,6,0.5,0.6,139,0.5311401141867205,0.5467625899280576,0.015622475741337127
isotonic,7,0.6,0.7,487,0.6499287106957983,0.6529774127310062,0.0030487020352079064
isotonic,8,0.7,0.8,1225,0.7377670509707732,0.7395918367346939,0.0018247857639206444
isotonic,9,0.8,0.9,130,0.8797829240954776,0.8769230769230769,0.0028598471724007313
isotonic,10,0.9,1.0,300,0.9514213045013491,0.97,0.018578695498650877
