source_subset,rounds,series,ct_win_rate,accuracy,accuracy_ci_lower_95,accuracy_ci_upper_95,accuracy_successful_bootstraps,auc,auc_ci_lower_95,auc_ci_upper_95,auc_successful_bootstraps,log_loss,log_loss_ci_lower_95,log_loss_ci_upper_95,log_loss_successful_bootstraps,brier_score,brier_score_ci_lower_95,brier_score_ci_upper_95,brier_score_successful_bootstraps,ece10,ece10_ci_lower_95,ece10_ci_upper_95,ece10_successful_bootstraps
online,2316,42,0.5107944732297064,0.7478411053540587,0.7335395189003436,0.7630072191805016,2000,0.8140742752393239,0.7983840296016822,0.8298783731532494,2000,0.5191358011728112,0.50113279069546,0.5369403468288099,2000,0.17359387993903352,0.16625408481965315,0.18071079518178337,2000,0.021793760407944427,0.018361964293294883,0.04307962332288011,2000
lan,1854,37,0.5420711974110033,0.7394822006472492,0.7210023455258583,0.7595035818611768,2000,0.8037978540747381,0.7861434244167569,0.8228477425872402,2000,0.528155551351555,0.5070615917902138,0.5464928248285202,2000,0.1782317565122474,0.1689390301408103,0.18641360277926994,2000,0.0183740795505592,0.015093113669360109,0.04794728640000144,2000
