first_kill_headshot_label,rounds,series,ct_win_rate,accuracy,accuracy_ci_lower_95,accuracy_ci_upper_95,accuracy_successful_bootstraps,auc,auc_ci_lower_95,auc_ci_upper_95,auc_successful_bootstraps,log_loss,log_loss_ci_lower_95,log_loss_ci_upper_95,log_loss_successful_bootstraps,brier_score,brier_score_ci_lower_95,brier_score_ci_upper_95,brier_score_successful_bootstraps,ece10,ece10_ci_lower_95,ece10_ci_upper_95,ece10_successful_bootstraps
non_headshot,2224,79,0.5746402877697842,0.7464028776978417,0.7327327701934744,0.7599809996257736,2000,0.8057151932029101,0.7919999023212326,0.8189670659166735,2000,0.5196476209770294,0.5028444272205334,0.5370100225123531,2000,0.1741264990620202,0.1673889344615553,0.18096413232667555,2000,0.018137031979356358,0.016295384938762245,0.040089270878102407,2000
headshot,1946,79,0.4676258992805755,0.7415210688591983,0.7210138854631477,0.7617485267197689,2000,0.8089025839025841,0.7892576884517957,0.8286242561891461,2000,0.5271441925329398,0.5057575088408722,0.5479122797482957,2000,0.17740378653575303,0.16836359075865936,0.18612392650768878,2000,0.029748730971176404,0.022911938749182924,0.052371859466206074,2000
