first_kill_side,rounds,series,ct_win_rate,accuracy,accuracy_ci_lower_95,accuracy_ci_upper_95,accuracy_successful_bootstraps,auc,auc_ci_lower_95,auc_ci_upper_95,auc_successful_bootstraps,log_loss,log_loss_ci_lower_95,log_loss_ci_upper_95,log_loss_successful_bootstraps,brier_score,brier_score_ci_lower_95,brier_score_ci_upper_95,brier_score_successful_bootstraps,ece10,ece10_ci_lower_95,ece10_ci_upper_95,ece10_successful_bootstraps
CT,2343,79,0.7195902688860435,0.744771660264618,0.726149797995408,0.7626073054380569,2000,0.7023906249153653,0.6815502624133831,0.7208428341171734,2000,0.5272109821843312,0.5084006556277674,0.5467095747019054,2000,0.17683200525043152,0.16848099622269205,0.18529364893012173,2000,0.013638956795835742,0.01141388589488513,0.035220838927593125,2000
T,1827,79,0.27476737821565406,0.7432950191570882,0.7195291481703715,0.7665472256994177,2000,0.7194888371044126,0.6921553805058739,0.7464939536213979,2000,0.5179329920438565,0.49258955447973135,0.5438629382225971,2000,0.17414762682580584,0.16351948989804507,0.18510487128728967,2000,0.02419704984675747,0.01706635847229591,0.04755817795097503,2000
