gain_rank,feature,gain,split_count,gain_normalized,deployment_tree_count,available_tree_count
1,first_kill_advantage_ct,699.9698486328125,122,0.3624132519065159,409,459
2,eq_value_diff_ct,236.58277893066406,140,0.12249203937114134,409,459
3,helmet_diff_ct,201.66429138183594,42,0.1044127997453979,409,459
4,armor_diff_ct,142.52757263183594,34,0.07379443726717176,409,459
5,rifle_diff_ct,85.12499237060547,30,0.04407393456133263,409,459
6,ct_armor,81.72867584228516,28,0.04231547293625469,409,459
7,t_rifles,66.41326141357422,3,0.03438583259782239,409,459
8,grenade_diff_ct,61.5293083190918,41,0.031857138931105936,409,459
9,ct_eq_value,36.14302444458008,132,0.0187132503611141,409,459
10,t_armor,29.21097755432129,9,0.015124144829248523,409,459
11,t_eq_value,23.785400390625,135,0.012315022311749376,409,459
12,ct_m4a1_s,14.881597518920898,31,0.007705029239374069,409,459
13,ct_defuse_kits,14.08410930633545,4,0.007292125316376922,409,459
14,smg_diff_ct,11.791050910949707,31,0.006104881677945254,409,459
15,map_name_de_inferno,11.738846778869629,29,0.0060778527004727925,409,459
16,ct_grenades,11.027167320251465,13,0.005709376733376991,409,459
17,t_grenades,10.383246421813965,13,0.005375983134739691,409,459
18,score_diff_ct,10.076386451721191,50,0.005217104691820363,409,459
19,map_name_de_overpass,8.40259838104248,29,0.004350491681443092,409,459
20,map_name_de_mirage,8.036321640014648,1,0.00416084987748126,409,459
21,first_kill_time,7.940045356750488,71,0.004111002300521497,409,459
22,ct_rifles,7.663434028625488,5,0.003967785258907825,409,459
23,first_kill_headshot,7.506319999694824,15,0.003886438603396716,409,459
24,ct_helmets,7.464768886566162,5,0.003864925285274933,409,459
25,first_kill_weapon_M4A4,7.355191707611084,2,0.0038081910961703332,409,459
26,ct_smgs,7.243562698364258,6,0.003750394560609175,409,459
27,first_kill_weapon_AK-47,7.191992282867432,5,0.0037236936933948517,409,459
28,t_score,6.919679641723633,23,0.0035827023206879585,409,459
29,t_ak47,6.878880977630615,7,0.0035615785872067634,409,459
30,ct_score,6.799983978271484,6,0.0035207292303962414,409,459
31,t_m4a1_s,6.636260509490967,4,0.003435960500928741,409,459
32,awp_diff_ct,6.522610664367676,2,0.0033771176664405796,409,459
33,cash_diff_ct,6.415221214294434,36,0.003321516186037511,409,459
34,map_name_de_dust2,6.274937152862549,19,0.003248883339074909,409,459
35,ct_m4a4,6.19583797454834,16,0.0032079293029946727,409,459
36,first_kill_weapon_AWP,6.078967094421387,10,0.0031474187598581147,409,459
37,t_cash,6.072577953338623,18,0.0031441107468041,409,459
38,first_kill_weapon_HE Grenade,6.060604572296143,4,0.003137911462694368,409,459
39,map_name_de_train,5.9944539070129395,7,0.0031036615906921794,409,459
40,ct_cash,5.933632850646973,20,0.0030721711531182853,409,459
41,first_kill_weapon_Desert Eagle,5.204564571380615,6,0.002694692028171842,409,459
42,first_kill_weapon_UMP-45,4.760842800140381,5,0.002464952632437884,409,459
43,first_kill_weapon_Molotov,4.651765823364258,2,0.002408477425771799,409,459
44,ct_ak47,4.149444580078125,1,0.002148397830005454,409,459
45,round_num,3.8072662353515625,8,0.001971233103715372,409,459
46,map_name_de_ancient,3.7300572395324707,2,0.0019312577200529366,409,459
47,t_helmets,2.4452362060546875,1,0.0012660345396972987,409,459
48,first_kill_weapon_P250,1.2870802879333496,3,0.0006663929218176812,409,459
49,first_kill_weapon_Glock-18,1.1268258094787598,1,0.0005834202812350194,409,459
50,ct_awp,0.0,0,0.0,409,459
51,first_kill_weapon_AUG,0.0,0,0.0,409,459
52,first_kill_weapon_CZ75 Auto,0.0,0,0.0,409,459
53,first_kill_weapon_Dual Berettas,0.0,0,0.0,409,459
54,first_kill_weapon_FAMAS,0.0,0,0.0,409,459
55,first_kill_weapon_Five-SeveN,0.0,0,0.0,409,459
56,first_kill_weapon_G3SG1,0.0,0,0.0,409,459
57,first_kill_weapon_Galil AR,0.0,0,0.0,409,459
58,first_kill_weapon_Incendiary Grenade,0.0,0,0.0,409,459
59,first_kill_weapon_Knife,0.0,0,0.0,409,459
60,first_kill_weapon_M4A1,0.0,0,0.0,409,459
61,first_kill_weapon_MAC-10,0.0,0,0.0,409,459
62,first_kill_weapon_MAG-7,0.0,0,0.0,409,459
63,first_kill_weapon_MP5-SD,0.0,0,0.0,409,459
64,first_kill_weapon_MP7,0.0,0,0.0,409,459
65,first_kill_weapon_MP9,0.0,0,0.0,409,459
66,first_kill_weapon_Negev,0.0,0,0.0,409,459
67,first_kill_weapon_Nova,0.0,0,0.0,409,459
68,first_kill_weapon_P2000,0.0,0,0.0,409,459
69,first_kill_weapon_P90,0.0,0,0.0,409,459
70,first_kill_weapon_PP-Bizon,0.0,0,0.0,409,459
71,first_kill_weapon_SCAR-20,0.0,0,0.0,409,459
72,first_kill_weapon_SG 553,0.0,0,0.0,409,459
73,first_kill_weapon_SSG 08,0.0,0,0.0,409,459
74,first_kill_weapon_Tec-9,0.0,0,0.0,409,459
75,first_kill_weapon_USP-S,0.0,0,0.0,409,459
76,first_kill_weapon_XM1014,0.0,0,0.0,409,459
77,first_kill_weapon_Zeus x27,0.0,0,0.0,409,459
78,map_name_de_nuke,0.0,0,0.0,409,459
79,map_name_de_vertigo,0.0,0,0.0,409,459
80,t_awp,0.0,0,0.0,409,459
81,t_m4a4,0.0,0,0.0,409,459
82,t_smgs,0.0,0,0.0,409,459
