shap_rank,feature,mean_abs_shap,mean_signed_shap,max_abs_shap
1,first_kill_advantage_ct,0.8631866,-0.010555483,1.2073966
2,eq_value_diff_ct,0.33186516,-0.019444626,1.0867378
3,ct_eq_value,0.108094335,-0.028350277,1.3592834
4,helmet_diff_ct,0.10197277,0.0043805623,0.49098045
5,t_eq_value,0.076547116,0.024773601,1.568943
6,armor_diff_ct,0.048194297,0.0048695,0.3588384
7,ct_armor,0.04342398,-0.007647223,0.39296335
8,rifle_diff_ct,0.041563444,0.0024338264,0.24702567
9,ct_m4a1_s,0.03826792,-0.002862242,0.098451294
10,score_diff_ct,0.036771398,-0.0001741505,0.17364164
11,map_name_de_inferno,0.035821166,-0.007159314,0.1279807
12,grenade_diff_ct,0.03427712,-0.0026418678,0.30715728
13,first_kill_time,0.03027389,-0.00040018326,0.14497118
14,smg_diff_ct,0.025949253,-0.0033188066,0.166989
15,map_name_de_overpass,0.019790154,-9.5289826e-05,0.12003064
16,cash_diff_ct,0.013829762,0.0023779832,0.0529988
17,map_name_de_dust2,0.011841699,0.0020035258,0.07330608
18,first_kill_headshot,0.01054144,0.0005271622,0.033923257
19,t_armor,0.008640045,0.003000691,0.1300706
20,first_kill_weapon_AWP,0.007893419,-0.0008302954,0.071931414
21,t_score,0.0075600888,-2.2737502e-05,0.026407601
22,t_grenades,0.006499976,0.0026250125,0.087384306
23,t_rifles,0.0058419835,0.0014371197,0.023061043
24,ct_m4a4,0.005292179,2.3180017e-05,0.1018902
25,ct_grenades,0.004422035,-0.0010366923,0.045103546
26,ct_cash,0.0043349275,0.0002515492,0.13174808
27,first_kill_weapon_AK-47,0.0034833138,-0.00021133039,0.01172351
28,t_cash,0.0031993468,-0.0004242687,0.039067816
29,t_ak47,0.0031441464,3.3716336e-05,0.029730195
30,ct_defuse_kits,0.0026749878,-0.00028442734,0.015304721
31,map_name_de_train,0.0026251387,0.00013558,0.061724905
32,first_kill_weapon_Desert Eagle,0.001883095,0.0002019548,0.034724522
33,ct_score,0.0015806755,0.00020510543,0.028540805
34,ct_helmets,0.001433356,0.00016375785,0.012186326
35,ct_rifles,0.0011767299,-3.105329e-05,0.013993662
36,ct_smgs,0.0011461776,0.00024015752,0.08233927
37,first_kill_weapon_M4A4,0.0009362301,2.3060664e-05,0.00919944
38,round_num,0.0008734244,3.1615353e-05,0.07229535
39,map_name_de_ancient,0.00086611323,2.0123995e-05,0.008278038
40,map_name_de_mirage,0.00084489194,1.9102834e-05,0.0027552051
41,first_kill_weapon_HE Grenade,0.00073864573,-2.502232e-05,0.05571743
42,ct_ak47,0.0006377845,-2.9286764e-05,0.020283235
43,awp_diff_ct,0.00057407544,-1.8231736e-05,0.016773103
44,first_kill_weapon_UMP-45,0.00054462283,-0.00017898154,0.1183359
45,t_m4a1_s,0.0004643812,5.1521663e-05,0.07851255
46,first_kill_weapon_Molotov,0.0001478594,-1.9860765e-05,0.04603912
47,first_kill_weapon_P250,0.00011932566,6.2189836e-05,0.037468724
48,t_helmets,7.534447e-05,1.7742688e-05,0.0149289835
49,first_kill_weapon_Glock-18,3.701269e-05,3.0203399e-05,0.010973902
50,ct_awp,0.0,0.0,0.0
51,first_kill_weapon_AUG,0.0,0.0,0.0
52,first_kill_weapon_CZ75 Auto,0.0,0.0,0.0
53,first_kill_weapon_Dual Berettas,0.0,0.0,0.0
54,first_kill_weapon_FAMAS,0.0,0.0,0.0
55,first_kill_weapon_Five-SeveN,0.0,0.0,0.0
56,first_kill_weapon_G3SG1,0.0,0.0,0.0
57,first_kill_weapon_Galil AR,0.0,0.0,0.0
58,first_kill_weapon_Incendiary Grenade,0.0,0.0,0.0
59,first_kill_weapon_Knife,0.0,0.0,0.0
60,first_kill_weapon_M4A1,0.0,0.0,0.0
61,first_kill_weapon_MAC-10,0.0,0.0,0.0
62,first_kill_weapon_MAG-7,0.0,0.0,0.0
63,first_kill_weapon_MP5-SD,0.0,0.0,0.0
64,first_kill_weapon_MP7,0.0,0.0,0.0
65,first_kill_weapon_MP9,0.0,0.0,0.0
66,first_kill_weapon_Negev,0.0,0.0,0.0
67,first_kill_weapon_Nova,0.0,0.0,0.0
68,first_kill_weapon_P2000,0.0,0.0,0.0
69,first_kill_weapon_P90,0.0,0.0,0.0
70,first_kill_weapon_PP-Bizon,0.0,0.0,0.0
71,first_kill_weapon_SCAR-20,0.0,0.0,0.0
72,first_kill_weapon_SG 553,0.0,0.0,0.0
73,first_kill_weapon_SSG 08,0.0,0.0,0.0
74,first_kill_weapon_Tec-9,0.0,0.0,0.0
75,first_kill_weapon_USP-S,0.0,0.0,0.0
76,first_kill_weapon_XM1014,0.0,0.0,0.0
77,first_kill_weapon_Zeus x27,0.0,0.0,0.0
78,map_name_de_nuke,0.0,0.0,0.0
79,map_name_de_vertigo,0.0,0.0,0.0
80,t_awp,0.0,0.0,0.0
81,t_m4a4,0.0,0.0,0.0
82,t_smgs,0.0,0.0,0.0
