feature,gain_rank,gain_normalized,permutation_rank,auc_decrease_mean,auc_decrease_std,shap_rank,mean_abs_shap,mean_rank
first_kill_advantage_ct,1,0.3624132519065159,1,0.1337287876076645,0.006475422010916574,1,0.8631866,1.0
eq_value_diff_ct,2,0.12249203937114134,2,0.023623437030163508,0.002736954170849862,2,0.33186516,2.0
helmet_diff_ct,3,0.1044127997453979,4,0.00202050977075201,0.0012517714531245032,4,0.10197277,3.6666666666666665
ct_eq_value,9,0.0187132503611141,3,0.00508089717881397,0.0011394614731500144,3,0.108094335,5.0
armor_diff_ct,4,0.07379443726717176,6,0.001451310192094385,0.0011026282013420364,6,0.048194297,5.333333333333333
ct_armor,6,0.04231547293625469,8,0.0010132439671853733,0.0006446692788288361,7,0.04342398,7.0
t_eq_value,11,0.012315022311749376,5,0.0019289233817334716,0.0009489599514460783,5,0.076547116,7.0
rifle_diff_ct,5,0.04407393456133263,12,0.00038498336029742507,0.0009239390120527999,8,0.041563444,8.333333333333334
ct_m4a1_s,12,0.007705029239374069,9,0.0009382315611988157,0.0004908632935563694,9,0.03826792,10.0
map_name_de_inferno,15,0.0060778527004727925,7,0.0011127916329229381,0.0006042941416991653,11,0.035821166,11.0
score_diff_ct,18,0.005217104691820363,11,0.0005523142929877767,0.0005416077553937043,10,0.036771398,13.0
smg_diff_ct,14,0.006104881677945254,14,0.0002289630901144035,0.0003993974403511623,14,0.025949253,14.0
map_name_de_overpass,19,0.004350491681443092,10,0.0006666949529309351,0.0004273623176436432,15,0.019790154,14.666666666666666
grenade_diff_ct,8,0.031857138931105936,25,2.3659000473985615e-05,0.0007328280000861555,12,0.03427712,15.0
first_kill_time,21,0.004111002300521497,13,0.0002748456400104682,0.00046706305021876023,13,0.03027389,15.666666666666666
t_grenades,17,0.005375983134739691,16,0.00011141175515646528,0.00014649861418337832,22,0.006499976,18.333333333333332
ct_grenades,16,0.005709376733376991,15,0.00020924149152231063,0.00011364533887630976,25,0.004422035,18.666666666666668
first_kill_headshot,23,0.003886438603396716,18,9.019705687560164e-05,0.0001522976652195923,18,0.01054144,19.666666666666668
map_name_de_dust2,34,0.003248883339074909,17,9.641157990460946e-05,0.00017071746711018164,17,0.011841699,22.666666666666668
first_kill_weapon_AWP,36,0.0031474187598581147,20,6.807727499958394e-05,0.000198080200306271,20,0.007893419,25.333333333333332
ct_rifles,22,0.003967785258907825,24,3.805962990486855e-05,5.639115143131619e-05,35,0.0011767299,27.0
ct_smgs,26,0.003750394560609175,19,7.913428350577179e-05,4.479117695783259e-05,36,0.0011461776,27.0
ct_helmets,24,0.003864925285274933,29,9.638852044929757e-06,4.271615999312162e-05,34,0.001433356,29.0
ct_cash,40,0.0030721711531182853,22,5.3987948206513094e-05,8.222662416251153e-05,26,0.0043349275,29.333333333333332
map_name_de_mirage,20,0.00416084987748126,30,8.168811810765897e-06,1.479157858718801e-05,40,0.00084489194,30.0
first_kill_weapon_Desert Eagle,41,0.002694692028171842,21,6.514295939496483e-05,5.998698961125019e-05,32,0.001883095,31.333333333333332
t_armor,10,0.015124144829248523,71,-1.5461364345009664e-05,0.0002313159598445639,19,0.008640045,33.333333333333336
awp_diff_ct,32,0.0033771176664405796,27,1.714470453451633e-05,1.3936483683909343e-05,43,0.00057407544,34.0
first_kill_weapon_UMP-45,42,0.002464952632437884,23,5.3941829297221576e-05,5.242206144308549e-05,44,0.00054462283,36.333333333333336
t_rifles,7,0.03438583259782239,79,-7.704163799615026e-05,0.00010112071482439028,23,0.0058419835,36.333333333333336
ct_ak47,44,0.002148397830005454,26,1.7502126081608837e-05,1.1395640932034388e-05,42,0.0006377845,37.333333333333336
map_name_de_ancient,46,0.0019312577200529366,28,1.1996681283193978e-05,2.3343540358885373e-05,39,0.00086611323,37.666666666666664
round_num,45,0.001971233103715372,31,1.4700402340583895e-06,1.3230525381244142e-05,38,0.0008734244,38.0
ct_defuse_kits,13,0.007292125316376922,75,-3.726984358319863e-05,5.939067495495211e-05,30,0.0026749878,39.333333333333336
t_score,28,0.0035827023206879585,76,-3.898200809119845e-05,0.000178567550058219,21,0.0075600888,41.666666666666664
t_helmets,47,0.0012660345396972987,32,5.534269116203027e-07,1.4826350689845146e-06,48,7.534447e-05,42.333333333333336
first_kill_weapon_M4A4,25,0.0038081910961703332,68,-6.716066167811174e-06,2.465081250501582e-05,37,0.0009362301,43.333333333333336
t_ak47,29,0.0035615785872067634,72,-1.656245330470818e-05,6.676566616331021e-05,29,0.0031441464,43.333333333333336
cash_diff_ct,33,0.003321516186037511,82,-0.00018150673243848557,0.00023067224920633655,16,0.013829762,43.666666666666664
first_kill_weapon_AK-47,27,0.0037236936933948517,77,-4.820578995244351e-05,4.865229220146319e-05,27,0.0034833138,43.666666666666664
first_kill_weapon_Glock-18,49,0.0005834202812350194,33,3.4589181985289484e-08,8.233872251659617e-08,49,3.701269e-05,43.666666666666664
ct_awp,50,0.0,34,0.0,0.0,50,0.0,44.666666666666664
t_cash,37,0.0031441107468041,69,-1.1766086736880731e-05,7.33697754178815e-05,28,0.0031993468,44.666666666666664
ct_score,30,0.0035207292303962414,73,-1.8159320539434808e-05,3.4220815344410614e-05,33,0.0015806755,45.333333333333336
first_kill_weapon_AUG,51,0.0,35,0.0,0.0,51,0.0,45.666666666666664
ct_m4a4,35,0.0032079293029946727,81,-0.00017354545571950374,0.00016543817916708274,24,0.005292179,46.666666666666664
first_kill_weapon_CZ75 Auto,52,0.0,36,0.0,0.0,52,0.0,46.666666666666664
first_kill_weapon_Dual Berettas,53,0.0,37,0.0,0.0,53,0.0,47.666666666666664
first_kill_weapon_FAMAS,54,0.0,38,0.0,0.0,54,0.0,48.666666666666664
first_kill_weapon_Five-SeveN,55,0.0,39,0.0,0.0,55,0.0,49.666666666666664
map_name_de_train,39,0.0031036615906921794,80,-9.415751821241214e-05,0.0001104658011076995,31,0.0026251387,50.0
first_kill_weapon_G3SG1,56,0.0,40,0.0,0.0,56,0.0,50.666666666666664
first_kill_weapon_HE Grenade,38,0.003137911462694368,74,-3.464106575273296e-05,6.429764623114669e-05,41,0.00073864573,51.0
t_m4a1_s,31,0.003435960500928741,78,-5.046561650843273e-05,3.764255741515749e-05,45,0.0004643812,51.333333333333336
first_kill_weapon_Galil AR,57,0.0,41,0.0,0.0,57,0.0,51.666666666666664
first_kill_weapon_Incendiary Grenade,58,0.0,42,0.0,0.0,58,0.0,52.666666666666664
first_kill_weapon_Molotov,43,0.002408477425771799,70,-1.31092999703597e-05,2.088265983077205e-05,46,0.0001478594,53.0
first_kill_weapon_Knife,59,0.0,43,0.0,0.0,59,0.0,53.666666666666664
first_kill_weapon_P250,48,0.0006663929218176812,67,-1.2567402785768067e-06,1.8555340087801378e-07,47,0.00011932566,54.0
first_kill_weapon_M4A1,60,0.0,44,0.0,0.0,60,0.0,54.666666666666664
first_kill_weapon_MAC-10,61,0.0,45,0.0,0.0,61,0.0,55.666666666666664
first_kill_weapon_MAG-7,62,0.0,46,0.0,0.0,62,0.0,56.666666666666664
first_kill_weapon_MP5-SD,63,0.0,47,0.0,0.0,63,0.0,57.666666666666664
first_kill_weapon_MP7,64,0.0,48,0.0,0.0,64,0.0,58.666666666666664
first_kill_weapon_MP9,65,0.0,49,0.0,0.0,65,0.0,59.666666666666664
first_kill_weapon_Negev,66,0.0,50,0.0,0.0,66,0.0,60.666666666666664
first_kill_weapon_Nova,67,0.0,51,0.0,0.0,67,0.0,61.666666666666664
first_kill_weapon_P2000,68,0.0,52,0.0,0.0,68,0.0,62.666666666666664
first_kill_weapon_P90,69,0.0,53,0.0,0.0,69,0.0,63.666666666666664
first_kill_weapon_PP-Bizon,70,0.0,54,0.0,0.0,70,0.0,64.66666666666667
first_kill_weapon_SCAR-20,71,0.0,55,0.0,0.0,71,0.0,65.66666666666667
first_kill_weapon_SG 553,72,0.0,56,0.0,0.0,72,0.0,66.66666666666667
first_kill_weapon_SSG 08,73,0.0,57,0.0,0.0,73,0.0,67.66666666666667
first_kill_weapon_Tec-9,74,0.0,58,0.0,0.0,74,0.0,68.66666666666667
first_kill_weapon_USP-S,75,0.0,59,0.0,0.0,75,0.0,69.66666666666667
first_kill_weapon_XM1014,76,0.0,60,0.0,0.0,76,0.0,70.66666666666667
first_kill_weapon_Zeus x27,77,0.0,61,0.0,0.0,77,0.0,71.66666666666667
map_name_de_nuke,78,0.0,62,0.0,0.0,78,0.0,72.66666666666667
map_name_de_vertigo,79,0.0,63,0.0,0.0,79,0.0,73.66666666666667
t_awp,80,0.0,64,0.0,0.0,80,0.0,74.66666666666667
t_m4a4,81,0.0,65,0.0,0.0,81,0.0,75.66666666666667
t_smgs,82,0.0,66,0.0,0.0,82,0.0,76.66666666666667
