importance_rank,encoded_feature,source_feature,feature_group,availability,audit_result,reason,shap_rank,mean_abs_shap
24,ct_m4a4,ct_m4a4,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,24,0.005292179
25,ct_grenades,ct_grenades,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,25,0.004422035
26,ct_cash,ct_cash,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,26,0.0043349275
27,first_kill_weapon_AK-47,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,27,0.0034833138
28,t_cash,t_cash,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,28,0.0031993468
29,t_ak47,t_ak47,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,29,0.0031441464
30,ct_defuse_kits,ct_defuse_kits,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,30,0.0026749878
31,map_name_de_train,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,31,0.0026251387
32,first_kill_weapon_Desert Eagle,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,32,0.001883095
33,ct_score,ct_score,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,33,0.0015806755
34,ct_helmets,ct_helmets,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,34,0.001433356
35,ct_rifles,ct_rifles,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,35,0.0011767299
36,ct_smgs,ct_smgs,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,36,0.0011461776
37,first_kill_weapon_M4A4,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,37,0.0009362301
38,round_num,round_num,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,38,0.0008734244
39,map_name_de_ancient,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,39,0.00086611323
40,map_name_de_mirage,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,40,0.00084489194
41,first_kill_weapon_HE Grenade,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,41,0.00073864573
42,ct_ak47,ct_ak47,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,42,0.0006377845
43,awp_diff_ct,awp_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,43,0.00057407544
44,first_kill_weapon_UMP-45,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,44,0.00054462283
45,t_m4a1_s,t_m4a1_s,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,45,0.0004643812
46,first_kill_weapon_Molotov,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,46,0.0001478594
47,first_kill_weapon_P250,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,47,0.00011932566
48,t_helmets,t_helmets,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,48,7.534447e-05
49,first_kill_weapon_Glock-18,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,49,3.701269e-05
50,ct_awp,ct_awp,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,50,0.0
51,first_kill_weapon_AUG,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,51,0.0
52,first_kill_weapon_CZ75 Auto,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,52,0.0
53,first_kill_weapon_Dual Berettas,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,53,0.0
54,first_kill_weapon_FAMAS,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,54,0.0
55,first_kill_weapon_Five-SeveN,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,55,0.0
56,first_kill_weapon_G3SG1,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,56,0.0
57,first_kill_weapon_Galil AR,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,57,0.0
58,first_kill_weapon_Incendiary Grenade,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,58,0.0
59,first_kill_weapon_Knife,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,59,0.0
60,first_kill_weapon_M4A1,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,60,0.0
61,first_kill_weapon_MAC-10,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,61,0.0
62,first_kill_weapon_MAG-7,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,62,0.0
63,first_kill_weapon_MP5-SD,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,63,0.0
64,first_kill_weapon_MP7,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,64,0.0
65,first_kill_weapon_MP9,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,65,0.0
66,first_kill_weapon_Negev,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,66,0.0
67,first_kill_weapon_Nova,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,67,0.0
68,first_kill_weapon_P2000,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,68,0.0
69,first_kill_weapon_P90,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,69,0.0
70,first_kill_weapon_PP-Bizon,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,70,0.0
71,first_kill_weapon_SCAR-20,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,71,0.0
72,first_kill_weapon_SG 553,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,72,0.0
73,first_kill_weapon_SSG 08,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,73,0.0
74,first_kill_weapon_Tec-9,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,74,0.0
75,first_kill_weapon_USP-S,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,75,0.0
76,first_kill_weapon_XM1014,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,76,0.0
77,first_kill_weapon_Zeus x27,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,77,0.0
78,map_name_de_nuke,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,78,0.0
79,map_name_de_vertigo,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,79,0.0
80,t_awp,t_awp,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,80,0.0
81,t_m4a4,t_m4a4,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,81,0.0
82,t_smgs,t_smgs,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,82,0.0
