grouped_permutation_rank,feature_group,encoded_column_count,baseline_auc,auc_decrease_mean,auc_decrease_std,auc_decrease_min,auc_decrease_max,n_repeats
1,first_kill_advantage_ct,1,0.8098368635821109,0.13841226661525935,0.005270942756539774,0.12557602517723487,0.146499713140384,20
2,eq_value_diff_ct,1,0.8098368635821109,0.024478325957382363,0.0034754303155089534,0.01965760860541943,0.034789914532437294,20
3,ct_eq_value,1,0.8098368635821109,0.005293505350715749,0.0010575511701010874,0.0032932360162855057,0.007057922582954013,20
4,helmet_diff_ct,1,0.8098368635821109,0.0021177169018422814,0.0010363900572116155,0.0001724847208052216,0.004141247461153963,20
5,t_eq_value,1,0.8098368635821109,0.0020117932968931273,0.0010089208506089342,0.00033782101066814896,0.004299320022801201,20
6,armor_diff_ct,1,0.8098368635821109,0.0016213794350248222,0.0010923380179170424,-0.000678409155894788,0.004018340567852774,20
7,map_name,8,0.8098368635821109,0.001613158739440973,0.0006449202508175335,0.0003877447299921455,0.0026684400924590346,20
8,ct_m4a1_s,1,0.8098368635821109,0.0008438722727582171,0.0004494222282137266,-0.0005663402062807688,0.0014532068322397063,20
9,ct_armor,1,0.8098368635821109,0.0005642129715888455,0.0005653374628110802,-0.0006980096923500101,0.0014383334839883632,20
10,score_diff_ct,1,0.8098368635821109,0.0005466993157797806,0.0005792058197779449,-0.0003311337688188809,0.0017899901674484076,20
11,first_kill_time,1,0.8098368635821109,0.0003966629740792038,0.00046093982545157704,-0.0008930926787156235,0.0013183090225188376,20
12,rifle_diff_ct,1,0.8098368635821109,0.00036606307775454707,0.0007731000651831885,-0.0010727258304632503,0.0021956059747969547,20
13,ct_grenades,1,0.8098368635821109,0.00020963926711510815,8.940146312650119e-05,1.7755780082784334e-05,0.0003725254899210606,20
14,first_kill_headshot,1,0.8098368635821109,0.00012860834346402062,0.00013513063973208454,-0.00014538986158807443,0.00035684506075694955,20
15,t_grenades,1,0.8098368635821109,9.784126609309051e-05,8.977242496353659e-05,-9.684970954326744e-05,0.00020488325459289136,20
16,ct_smgs,1,0.8098368635821109,8.91593814162095e-05,5.578426079104225e-05,-5.995458209895332e-06,0.00020891865915717567,20
17,smg_diff_ct,1,0.8098368635821109,6.782938586208376e-05,0.00041671532395268294,-0.0009028929469430125,0.0008059279401265718,20
18,ct_cash,1,0.8098368635821109,2.6310837759119242e-05,7.055423114594198e-05,-0.00012924824333082618,0.00014446748340168902,20
19,ct_rifles,1,0.8098368635821109,2.444302193220782e-05,4.461520319736539e-05,-5.292144842905522e-05,0.00012947883787717274,20
20,ct_ak47,1,0.8098368635821109,2.2090957557607815e-05,1.2351314237013086e-05,-1.0607349140490108e-05,4.1737612922032596e-05,20
21,awp_diff_ct,1,0.8098368635821109,1.534606707154773e-05,1.7284861006155407e-05,-1.602632098407497e-05,4.957782750403261e-05,20
22,round_num,1,0.8098368635821109,1.2601991967858827e-05,1.529143969024175e-05,-2.9285507409548828e-05,4.496593657354886e-05,20
23,ct_score,1,0.8098368635821109,1.167961378172877e-05,5.8898459571548607e-05,-8.970127860064014e-05,0.00011322192234664019,20
24,cash_diff_ct,1,0.8098368635821109,9.898270909758367e-06,0.0001790406146394494,-0.0002887043722571425,0.0003869376490792664,20
25,t_armor,1,0.8098368635821109,5.320969161110023e-06,0.0002585852386907093,-0.0006002376046209124,0.00042198802015203096,20
26,t_cash,1,0.8098368635821109,4.5773017485817306e-06,5.450874278430129e-05,-7.828684854738199e-05,9.973214137470876e-05,20
27,grenade_diff_ct,1,0.8098368635821109,4.727188203323962e-07,0.0007862786407955434,-0.0016471368458724767,0.0016616643023037447,20
28,ct_awp,1,0.8098368635821109,0.0,0.0,0.0,0.0,20
29,t_awp,1,0.8098368635821109,0.0,0.0,0.0,0.0,20
30,t_m4a4,1,0.8098368635821109,0.0,0.0,0.0,0.0,20
31,t_smgs,1,0.8098368635821109,0.0,0.0,0.0,0.0,20
32,t_helmets,1,0.8098368635821109,-1.6141618260356872e-07,1.3168139890802848e-06,-2.3059454652418765e-06,2.3059454652418765e-06,20
33,t_ak47,1,0.8098368635821109,-8.745298177281757e-06,5.349349013677225e-05,-0.00010330635684607792,9.558143953702913e-05,20
34,ct_defuse_kits,1,0.8098368635821109,-1.0699586959145302e-05,7.125737705824191e-05,-0.00012717289241204188,0.0001723694235319373,20
35,ct_helmets,1,0.8098368635821109,-1.5922553438052488e-05,3.944137382059421e-05,-8.831771132145061e-05,7.252198488394423e-05,20
36,first_kill_weapon,36,0.8098368635821109,-2.9077972317664845e-05,0.00019686038762067108,-0.00032548420242872744,0.00039904386277211934,20
37,t_m4a1_s,1,0.8098368635821109,-5.746416099565721e-05,4.5805364802726675e-05,-0.00016510569531635877,3.0438480142058744e-05,20
38,t_score,1,0.8098368635821109,-6.27044220655959e-05,0.00015469124231979784,-0.00031291679964284835,0.00025826589211486173,20
39,t_rifles,1,0.8098368635821109,-7.713964067843082e-05,0.00015439958691125893,-0.00033493857883670763,0.0003004646941300315,20
40,ct_m4a4,1,0.8098368635821109,-0.0001854844883661444,0.00017876708880139284,-0.0005211436751606513,0.00016683515441529018,20
