source_feature,feature_group,encoded_column_count,gain_normalized,split_count,mean_abs_shap,grouped_auc_decrease_mean,grouped_auc_decrease_std,source_gain_rank,source_shap_rank,source_permutation_rank,mean_rank
first_kill_advantage_ct,first_kill_event,1,0.3624132519065159,122,0.8631866,0.13841226661525935,0.005270942756539774,1,1,1,1.0
eq_value_diff_ct,purchase_end,1,0.12249203937114134,140,0.33186516,0.024478325957382363,0.0034754303155089534,2,2,2,2.0
helmet_diff_ct,purchase_end,1,0.1044127997453979,42,0.10197277,0.0021177169018422814,0.0010363900572116155,3,4,4,3.6666666666666665
armor_diff_ct,purchase_end,1,0.07379443726717176,34,0.048194297,0.0016213794350248222,0.0010923380179170424,4,7,6,5.666666666666667
ct_eq_value,purchase_end,1,0.0187132503611141,132,0.108094335,0.005293505350715749,0.0010575511701010874,11,3,3,5.666666666666667
map_name,purchase_end,8,0.02287299690921717,87,0.07178916,0.001613158739440973,0.0006449202508175335,9,6,7,7.333333333333333
ct_armor,purchase_end,1,0.04231547293625469,28,0.04342398,0.0005642129715888455,0.0005653374628110802,6,8,9,7.666666666666667
t_eq_value,purchase_end,1,0.012315022311749376,135,0.076547116,0.0020117932968931273,0.0010089208506089342,13,5,5,7.666666666666667
rifle_diff_ct,purchase_end,1,0.04407393456133263,30,0.041563444,0.00036606307775454707,0.0007731000651831885,5,9,12,8.666666666666666
ct_m4a1_s,purchase_end,1,0.007705029239374069,31,0.03826792,0.0008438722727582171,0.0004494222282137266,14,10,8,10.666666666666666
score_diff_ct,purchase_end,1,0.005217104691820363,50,0.036771398,0.0005466993157797806,0.0005792058197779449,19,11,10,13.333333333333334
first_kill_time,first_kill_event,1,0.004111002300521497,71,0.03027389,0.0003966629740792038,0.00046093982545157704,20,13,11,14.666666666666666
grenade_diff_ct,purchase_end,1,0.031857138931105936,41,0.03427712,4.727188203323962e-07,0.0007862786407955434,8,12,27,15.666666666666666
smg_diff_ct,purchase_end,1,0.006104881677945254,31,0.025949253,6.782938586208376e-05,0.00041671532395268294,16,14,17,15.666666666666666
ct_grenades,purchase_end,1,0.005709376733376991,13,0.004422035,0.00020963926711510815,8.940146312650119e-05,17,23,13,17.666666666666668
first_kill_headshot,first_kill_event,1,0.003886438603396716,15,0.01054144,0.00012860834346402062,0.00013513063973208454,22,17,14,17.666666666666668
t_grenades,purchase_end,1,0.005375983134739691,13,0.006499976,9.784126609309051e-05,8.977242496353659e-05,18,20,15,17.666666666666668
t_armor,purchase_end,1,0.015124144829248523,9,0.008640045,5.320969161110023e-06,0.0002585852386907093,12,18,25,18.333333333333332
first_kill_weapon,first_kill_event,36,0.022635150301551894,38,0.015783524,-2.9077972317664845e-05,0.00019686038762067108,10,15,36,20.333333333333332
t_rifles,purchase_end,1,0.03438583259782239,3,0.0058419835,-7.713964067843082e-05,0.00015439958691125893,7,21,39,22.333333333333332
cash_diff_ct,purchase_end,1,0.003321516186037511,36,0.013829762,9.898270909758367e-06,0.0001790406146394494,30,16,24,23.333333333333332
ct_rifles,purchase_end,1,0.003967785258907825,5,0.0011767299,2.444302193220782e-05,4.461520319736539e-05,21,30,19,23.333333333333332
ct_smgs,purchase_end,1,0.003750394560609175,6,0.0011461776,8.91593814162095e-05,5.578426079104225e-05,24,31,16,23.666666666666668
ct_cash,purchase_end,1,0.0030721711531182853,20,0.0043349275,2.6310837759119242e-05,7.055423114594198e-05,33,24,18,25.0
ct_defuse_kits,purchase_end,1,0.007292125316376922,4,0.0026749878,-1.0699586959145302e-05,7.125737705824191e-05,15,27,34,25.333333333333332
ct_score,purchase_end,1,0.0035207292303962414,6,0.0015806755,1.167961378172877e-05,5.8898459571548607e-05,27,28,23,26.0
t_score,purchase_end,1,0.0035827023206879585,23,0.0075600888,-6.27044220655959e-05,0.00015469124231979784,25,19,38,27.333333333333332
t_cash,purchase_end,1,0.0031441107468041,18,0.0031993468,4.5773017485817306e-06,5.450874278430129e-05,32,25,26,27.666666666666668
awp_diff_ct,purchase_end,1,0.0033771176664405796,2,0.00057407544,1.534606707154773e-05,1.7284861006155407e-05,29,34,21,28.0
t_ak47,purchase_end,1,0.0035615785872067634,7,0.0031441464,-8.745298177281757e-06,5.349349013677225e-05,26,26,33,28.333333333333332
ct_ak47,purchase_end,1,0.002148397830005454,1,0.0006377845,2.2090957557607815e-05,1.2351314237013086e-05,34,33,20,29.0
ct_helmets,purchase_end,1,0.003864925285274933,5,0.001433356,-1.5922553438052488e-05,3.944137382059421e-05,23,29,35,29.0
round_num,purchase_end,1,0.001971233103715372,8,0.0008734244,1.2601991967858827e-05,1.529143969024175e-05,35,32,22,29.666666666666668
ct_m4a4,purchase_end,1,0.0032079293029946727,16,0.005292179,-0.0001854844883661444,0.00017876708880139284,31,22,40,31.0
t_m4a1_s,purchase_end,1,0.003435960500928741,4,0.0004643812,-5.746416099565721e-05,4.5805364802726675e-05,28,35,37,33.333333333333336
ct_awp,purchase_end,1,0.0,0,0.0,0.0,0.0,37,37,28,34.0
t_helmets,purchase_end,1,0.0012660345396972987,1,7.534447e-05,-1.6141618260356872e-07,1.3168139890802848e-06,36,36,32,34.666666666666664
t_awp,purchase_end,1,0.0,0,0.0,0.0,0.0,38,38,29,35.0
t_m4a4,purchase_end,1,0.0,0,0.0,0.0,0.0,39,39,30,36.0
t_smgs,purchase_end,1,0.0,0,0.0,0.0,0.0,40,40,31,37.0
