permutation_rank,feature,auc_decrease_mean,auc_decrease_std,n_repeats
1,first_kill_advantage_ct,0.1337287876076645,0.006475422010916574,20
2,eq_value_diff_ct,0.023623437030163508,0.002736954170849862,20
3,ct_eq_value,0.00508089717881397,0.0011394614731500144,20
4,helmet_diff_ct,0.00202050977075201,0.0012517714531245032,20
5,t_eq_value,0.0019289233817334716,0.0009489599514460783,20
6,armor_diff_ct,0.001451310192094385,0.0011026282013420364,20
7,map_name_de_inferno,0.0011127916329229381,0.0006042941416991653,20
8,ct_armor,0.0010132439671853733,0.0006446692788288361,20
9,ct_m4a1_s,0.0009382315611988157,0.0004908632935563694,20
10,map_name_de_overpass,0.0006666949529309351,0.0004273623176436432,20
11,score_diff_ct,0.0005523142929877767,0.0005416077553937043,20
12,rifle_diff_ct,0.00038498336029742507,0.0009239390120527999,20
13,first_kill_time,0.0002748456400104682,0.00046706305021876023,20
14,smg_diff_ct,0.0002289630901144035,0.0003993974403511623,20
15,ct_grenades,0.00020924149152231063,0.00011364533887630976,20
16,t_grenades,0.00011141175515646528,0.00014649861418337832,20
17,map_name_de_dust2,9.641157990460946e-05,0.00017071746711018164,20
18,first_kill_headshot,9.019705687560164e-05,0.0001522976652195923,20
19,ct_smgs,7.913428350577179e-05,4.479117695783259e-05,20
20,first_kill_weapon_AWP,6.807727499958394e-05,0.000198080200306271,20
21,first_kill_weapon_Desert Eagle,6.514295939496483e-05,5.998698961125019e-05,20
22,ct_cash,5.3987948206513094e-05,8.222662416251153e-05,20
23,first_kill_weapon_UMP-45,5.3941829297221576e-05,5.242206144308549e-05,20
24,ct_rifles,3.805962990486855e-05,5.639115143131619e-05,20
25,grenade_diff_ct,2.3659000473985615e-05,0.0007328280000861555,20
26,ct_ak47,1.7502126081608837e-05,1.1395640932034388e-05,20
27,awp_diff_ct,1.714470453451633e-05,1.3936483683909343e-05,20
28,map_name_de_ancient,1.1996681283193978e-05,2.3343540358885373e-05,20
29,ct_helmets,9.638852044929757e-06,4.271615999312162e-05,20
30,map_name_de_mirage,8.168811810765897e-06,1.479157858718801e-05,20
31,round_num,1.4700402340583895e-06,1.3230525381244142e-05,20
32,t_helmets,5.534269116203027e-07,1.4826350689845146e-06,20
33,first_kill_weapon_Glock-18,3.4589181985289484e-08,8.233872251659617e-08,20
34,ct_awp,0.0,0.0,20
35,first_kill_weapon_AUG,0.0,0.0,20
36,first_kill_weapon_CZ75 Auto,0.0,0.0,20
37,first_kill_weapon_Dual Berettas,0.0,0.0,20
38,first_kill_weapon_FAMAS,0.0,0.0,20
39,first_kill_weapon_Five-SeveN,0.0,0.0,20
40,first_kill_weapon_G3SG1,0.0,0.0,20
41,first_kill_weapon_Galil AR,0.0,0.0,20
42,first_kill_weapon_Incendiary Grenade,0.0,0.0,20
43,first_kill_weapon_Knife,0.0,0.0,20
44,first_kill_weapon_M4A1,0.0,0.0,20
45,first_kill_weapon_MAC-10,0.0,0.0,20
46,first_kill_weapon_MAG-7,0.0,0.0,20
47,first_kill_weapon_MP5-SD,0.0,0.0,20
48,first_kill_weapon_MP7,0.0,0.0,20
49,first_kill_weapon_MP9,0.0,0.0,20
50,first_kill_weapon_Negev,0.0,0.0,20
51,first_kill_weapon_Nova,0.0,0.0,20
52,first_kill_weapon_P2000,0.0,0.0,20
53,first_kill_weapon_P90,0.0,0.0,20
54,first_kill_weapon_PP-Bizon,0.0,0.0,20
55,first_kill_weapon_SCAR-20,0.0,0.0,20
56,first_kill_weapon_SG 553,0.0,0.0,20
57,first_kill_weapon_SSG 08,0.0,0.0,20
58,first_kill_weapon_Tec-9,0.0,0.0,20
59,first_kill_weapon_USP-S,0.0,0.0,20
60,first_kill_weapon_XM1014,0.0,0.0,20
61,first_kill_weapon_Zeus x27,0.0,0.0,20
62,map_name_de_nuke,0.0,0.0,20
63,map_name_de_vertigo,0.0,0.0,20
64,t_awp,0.0,0.0,20
65,t_m4a4,0.0,0.0,20
66,t_smgs,0.0,0.0,20
67,first_kill_weapon_P250,-1.2567402785768067e-06,1.8555340087801378e-07,20
68,first_kill_weapon_M4A4,-6.716066167811174e-06,2.465081250501582e-05,20
69,t_cash,-1.1766086736880731e-05,7.33697754178815e-05,20
70,first_kill_weapon_Molotov,-1.31092999703597e-05,2.088265983077205e-05,20
71,t_armor,-1.5461364345009664e-05,0.0002313159598445639,20
72,t_ak47,-1.656245330470818e-05,6.676566616331021e-05,20
73,ct_score,-1.8159320539434808e-05,3.4220815344410614e-05,20
74,first_kill_weapon_HE Grenade,-3.464106575273296e-05,6.429764623114669e-05,20
75,ct_defuse_kits,-3.726984358319863e-05,5.939067495495211e-05,20
76,t_score,-3.898200809119845e-05,0.000178567550058219,20
77,first_kill_weapon_AK-47,-4.820578995244351e-05,4.865229220146319e-05,20
78,t_m4a1_s,-5.046561650843273e-05,3.764255741515749e-05,20
79,t_rifles,-7.704163799615026e-05,0.00010112071482439028,20
80,map_name_de_train,-9.415751821241214e-05,0.0001104658011076995,20
81,ct_m4a4,-0.00017354545571950374,0.00016543817916708274,20
82,cash_diff_ct,-0.00018150673243848557,0.00023067224920633655,20
