model,profile,split,accuracy,log_loss,brier_score,ece10,auc
constant_train_prior,canonical_event,train,0.5435782231738566,0.6893442342397442,0.24810093846500963,0.0,0.5
constant_train_prior,canonical_event,val,0.5358508604206501,0.6906946394851702,0.24877442794221877,0.0077273627532064015,0.5
constant_train_prior,canonical_event,test,0.5247002398081535,0.6926432805734406,0.24974627640937555,0.01887798336570312,0.5
logistic_regression,canonical_event,train,0.7499034715153217,0.5219518784422466,0.17460281310457093,0.005353608593433952,0.8104671580125625
logistic_regression,canonical_event,val,0.7421128107074569,0.5317253526869095,0.1786279641368148,0.016556139793726513,0.8006054942117115
logistic_regression,canonical_event,test,0.7434052757793765,0.5266419675805064,0.17607033399417882,0.015016607603500954,0.8090589528793879
xgboost_untuned,canonical_event,train,0.758643687037102,0.49201706898155373,0.16359313733451483,0.03381647101328749,0.8412226873721678
xgboost_untuned,canonical_event,val,0.7418738049713193,0.5298345739381326,0.17833417180421834,0.013798604055962694,0.8020687872017316
xgboost_untuned,canonical_event,test,0.7453237410071942,0.5247534331448958,0.1762645347408764,0.01090835026338052,0.8088959225349904
