iteration,canonical_event_val_logloss,pre_round_control_val_logloss
0,0.6822383667326338,0.685852904385579
1,0.6742678811385459,0.6811312865501494
2,0.6667746612677496,0.6768407753132726
3,0.6597679032878255,0.6728941842585973
4,0.6531272209952825,0.6689462080583631
5,0.6468499762007884,0.665243137488943
6,0.6409463005792172,0.6617148685025097
7,0.6367225239220757,0.658372818312499
8,0.631361075753549,0.6551998781635076
9,0.6262722279819487,0.6523425765478018
10,0.6214469722961833,0.6495566572958379
11,0.6168967728996311,0.6469266746356997
12,0.6126436085705548,0.6444240352334757
13,0.6085507495909303,0.6420977918456093
14,0.6046896198582808,0.6398850690936723
15,0.6010171323266756,0.6377067580448738
16,0.5975973629508431,0.6356683128244506
17,0.5943547284504822,0.6337484357055868
18,0.5919725142853837,0.6318868504370604
19,0.5889698926637209,0.6301432646682795
20,0.5860762431270249,0.6284737101903837
21,0.5833077146484735,0.6268781855253656
22,0.5807353470752276,0.6253439707264845
23,0.5782666941873202,0.623940464390538
24,0.5759080018078905,0.6225907025684249
25,0.5736555274020361,0.621318475462596
26,0.5721122285860446,0.6201224038341789
27,0.5700238789796801,0.6189179829540832
28,0.5680678737123656,0.6178380137142043
29,0.5662121966438471,0.6168091514737241
30,0.5644622091862799,0.6157692534560569
31,0.5627779353741221,0.6148412018804232
32,0.5612045013956569,0.6139271903986087
33,0.5596410721953581,0.6130508662879923
34,0.5581688429985773,0.6122017126658622
35,0.5570930664999193,0.6114122366486384
36,0.5557842481094297,0.610659764711006
37,0.5545354135829536,0.6099432202387266
38,0.55363050754223,0.6092708484709519
39,0.5524809225560318,0.6086191122685461
40,0.5513632363474164,0.6079995638902796
41,0.5505913034362815,0.607427331464041
42,0.5495690783720827,0.6068831539176847
43,0.5486093835004144,0.6063789241977506
44,0.5477081925962584,0.6058739962618991
45,0.5470771232911922,0.6053976998281582
46,0.5462119068797272,0.6049213320725592
47,0.5454368850476257,0.6045017973137005
48,0.5446755225533338,0.6041027967360434
49,0.544166355240684,0.6037229414375759
50,0.5436780098398317,0.6033449047298507
51,0.542935762690633,0.6030099082606387
52,0.5422721357533555,0.6026700184819419
53,0.5416020235406452,0.6023365322039258
54,0.5410151724306507,0.6020272524696179
55,0.5404580723134583,0.6017192869703597
56,0.5399013478852039,0.6014187408559537
57,0.5393397224725119,0.6011629108282565
58,0.5390143526707336,0.6008971000177498
59,0.5385230280731379,0.6006605173630308
60,0.5380335019271016,0.600452700042189
61,0.5375954814452899,0.600215271884579
62,0.5371783681749855,0.6000139879474121
63,0.5367814936936899,0.5998219993895002
64,0.5363948712718404,0.5996396385950622
65,0.5360555820706626,0.5994527463892022
66,0.5358596078056066,0.5992792260799251
67,0.53552681894485,0.5990809886297834
68,0.5353170012588654,0.5989372132392333
69,0.5349726136764921,0.5988057521554725
70,0.5346953084186631,0.5986450700726837
71,0.5343942818655695,0.5985135436271732
72,0.5340940890972633,0.5983655310430017
73,0.5338478595807251,0.5982879285823489
74,0.5335942823052527,0.5982021491914047
75,0.5333546444748744,0.5981220159333299
76,0.5331256640830164,0.5980420946081242
77,0.5329174341368587,0.5979326743232781
78,0.5327363503080959,0.5978375514835674
79,0.5325320408551332,0.5977541139597753
80,0.5323747759097279,0.5976587881447203
81,0.5321793728209783,0.5975581640097175
82,0.5320349569302444,0.5974759604732005
83,0.531881294222139,0.597393493740116
84,0.5317210452515369,0.5973174006261472
85,0.5315557661680879,0.5972211846576944
86,0.5315118000831947,0.5971648440243102
87,0.5313765061801089,0.5971212678929047
88,0.5312424936664806,0.5970978898202811
89,0.5311131707257297,0.5970509526418633
90,0.530975256952142,0.5970124631503999
91,0.5308873009192179,0.5969515784615099
92,0.5308097115781044,0.5968960704104743
93,0.5307219522314264,0.5968638788792973
94,0.5306295600544347,0.5968108006924868
95,0.5305097551894398,0.5967289793606043
96,0.5304263370337737,0.5966847734944272
97,0.5303257841560776,0.5966789465754633
98,0.530273476695681,0.5966595148504756
99,0.5301662854361482,0.5966225083900463
100,0.5300660966129807,0.5966102268687498
101,0.5299904357991849,0.5965592958029523
102,0.5298961446821746,0.5965366071908348
103,0.5298109991962524,0.5964914292814282
104,0.5297577679537888,0.5964927149530995
105,0.5296906618774027,0.5964769095495828
106,0.5296309973708894,0.5964846505708262
107,0.5295670789906427,0.5964838658380687
108,0.5295046728636792,0.5964935280782853
109,0.529445063052334,0.5964879563704212
110,0.5293765282761448,0.5964611886782807
111,0.5293218662112463,0.5964553494135053
112,0.5293110999956293,0.5964513590179177
113,0.5292819121854297,0.5964668900351954
114,0.5292280839436044,0.5964309851633185
115,0.5291876398241967,0.5964389087024179
116,0.529130296293071,0.5964246683045741
117,0.5290872071265112,0.596424596759902
118,0.5290711884007097,0.5964027157542607
119,0.5290225163221459,0.5964059271448137
120,0.5289793127778665,0.5963642921048995
121,0.5289572270461991,0.5963689447086782
122,0.5289477528585744,0.5963730657211439
123,0.5289505214406351,0.5963779164359764
124,0.5289472644782695,0.5964065016751279
125,0.5289147387745738,0.5963938298582208
126,0.5289066245026591,0.5963855123877023
127,0.5289009302003348,0.5963972830881381
128,0.5288489924155685,0.5964014938537007
129,0.5288226787304955,0.596398708357807
130,0.5287859532521346,0.5963676963704878
131,0.5287332195834475,0.5963700723624654
132,0.5287310727762885,0.5963806812584678
133,0.5287030564523596,0.5963674372584732
134,0.5286837706663317,0.5963674054888877
135,0.5286898085545663,0.5963667990086888
136,0.5287331919418202,0.5964117447899505
137,0.5286971146089914,0.5963856355873886
138,0.5286975973530585,0.5963995439208774
139,0.5286607655435471,0.5964132299599768
