,accuracy,log_loss,auc
train,0.7441273402987167,0.5138162818660122,0.8450980969973692
val,0.6450727749940348,0.6032536669959911,0.7112791218926372
test,0.6474113135186961,0.5985275608238438,0.7170872464174087
