,accuracy,log_loss,auc
train,0.7266764870931538,0.5214958153468701,0.8108464297128233
val,0.6864781000119345,0.5684874861846568,0.7643323744730945
test,0.699424736337488,0.5595612919469287,0.7747496424780327
