,accuracy,log_loss,auc
train,0.6873290793072014,0.5604930187994271,0.7717794981913011
val,0.6502028155571463,0.5984340085883968,0.7144204629293494
test,0.6512464046021093,0.5941318543891579,0.7209489213525387
