equipment_band,rounds,series,ct_win_rate,accuracy,accuracy_ci_lower_95,accuracy_ci_upper_95,accuracy_successful_bootstraps,auc,auc_ci_lower_95,auc_ci_upper_95,auc_successful_bootstraps,log_loss,log_loss_ci_lower_95,log_loss_ci_upper_95,log_loss_successful_bootstraps,brier_score,brier_score_ci_lower_95,brier_score_ci_upper_95,brier_score_successful_bootstraps,ece10,ece10_ci_lower_95,ece10_ci_upper_95,ece10_successful_bootstraps
ct_major,1574,79,0.704574332909784,0.704574332909784,0.6833490093765804,0.7240081714173511,2000,0.6854106673647673,0.6600786092936755,0.7089751239814263,2000,0.5547572109253571,0.5378479169863626,0.5745860512540413,2000,0.18924689379947715,0.18239388248747856,0.19676137542041777,2000,0.007838873937248017,0.007531726648308016,0.0322666362951291,2000
t_major,930,78,0.21935483870967742,0.7795698924731183,0.7505938242280285,0.8060084373296535,2000,0.7155782423162103,0.6778537839069871,0.7529511826757134,2000,0.47757524389505795,0.44781363312861006,0.5082149135777436,2000,0.15506301455521926,0.14297763219054777,0.16766819821315912,2000,0.031765233522568756,0.022613338027378062,0.05878129895964258,2000
ct_moderate,708,79,0.5494350282485876,0.5522598870056498,0.5111664404183853,0.5938352639011112,2000,0.5553464795996487,0.5090245411899714,0.6007332222588225,2000,0.6845347199440117,0.6727887935105787,0.6963479161026591,2000,0.2457204569219693,0.23990752553342934,0.2515761243074714,2000,0.016316390144930845,0.005297221448078552,0.05734496168845805,2000
balanced,696,79,0.49712643678160917,0.5201149425287356,0.48755353221083453,0.5527536928590159,2000,0.5432328654004954,0.49807690471399735,0.5863007118062238,2000,0.6923570147020144,0.6860294310948908,0.6985642526631668,2000,0.24960902773364102,0.24646968754225704,0.25269644524116186,2000,0.03222071053048787,0.00842725328751362,0.06584691684155401,2000
t_moderate,264,71,0.5303030303030303,0.48484848484848486,0.42737540211664876,0.54702154626109,2000,0.5235023041474655,0.450237406367887,0.5961142584062126,2000,0.695496931058195,0.684627510776632,0.7062435122218359,2000,0.25119580442052725,0.2458108667074768,0.25654047996719564,2000,0.05912718818401736,0.020217858998137016,0.1236211742618941,2000
