metric,point_estimate,ci_lower_95,ci_upper_95,successful_bootstraps,bootstrap_unit
accuracy,0.6507670182166826,0.6344501621173407,0.6663201264176721,2000,series_id
auc,0.7278463079406734,0.714168906813326,0.7414272736274631,2000,series_id
log_loss,0.5914369800026945,0.5806348409949814,0.6029209407951397,2000,series_id
brier_score,0.20520059289240616,0.20082046760790664,0.20971463268714685,2000,series_id
ece10,0.018874543992825548,0.014072976473349987,0.034253449023061266,2000,series_id
