method,bin,lower_bound,upper_bound,count,mean_probability,observed_ct_win_rate,absolute_gap
uncalibrated,1,0.0,0.1,168,0.06029212773594359,0.05952380952380952,0.0007683182121340712
uncalibrated,2,0.1,0.2,172,0.15178315396094388,0.13372093023255813,0.018062223728385757
uncalibrated,3,0.2,0.3,284,0.24982424960108773,0.1936619718309859,0.056162277770101826
uncalibrated,4,0.3,0.4,219,0.34680774074561,0.3242009132420091,0.02260682750360088
uncalibrated,5,0.4,0.5,422,0.464235852638121,0.4976303317535545,0.03339447911543347
uncalibrated,6,0.5,0.6,1760,0.5555134047749517,0.5392045454545454,0.016308859320406266
uncalibrated,7,0.6,0.7,523,0.6267689055869105,0.6347992351816444,0.008030329594733931
uncalibrated,8,0.7,0.8,191,0.7581586433354115,0.774869109947644,0.016710466612232522
uncalibrated,9,0.8,0.9,244,0.8465970550921352,0.8565573770491803,0.009960321957045104
uncalibrated,10,0.9,1.0,189,0.9471434241374572,0.9576719576719577,0.01052853353450045
sigmoid,1,0.0,0.1,171,0.05995826135905806,0.05847953216374269,0.001478729195315373
sigmoid,2,0.1,0.2,172,0.15126426335094814,0.13372093023255813,0.017543333118390014
sigmoid,3,0.2,0.3,288,0.24843841816885406,0.19791666666666666,0.050521751502187406
sigmoid,4,0.3,0.4,219,0.34631378280257735,0.3287671232876712,0.017546659514906138
sigmoid,5,0.4,0.5,460,0.46494723412661204,0.4956521739130435,0.030704939786431462
sigmoid,6,0.5,0.6,1776,0.5546483955966338,0.5422297297297297,0.0124186658669041
sigmoid,7,0.6,0.7,465,0.6269573009637671,0.6451612903225806,0.01820398935881351
sigmoid,8,0.7,0.8,195,0.7579325291427973,0.7794871794871795,0.021554650344382198
sigmoid,9,0.8,0.9,240,0.8468191529726997,0.8541666666666666,0.007347513693966912
sigmoid,10,0.9,1.0,186,0.9472648240856191,0.956989247311828,0.009724423226208923
isotonic,1,0.0,0.1,180,0.022529928769464688,0.05555555555555555,0.03302562678609086
isotonic,2,0.1,0.2,147,0.15728355366200514,0.14285714285714285,0.014426410804862289
isotonic,3,0.2,0.3,260,0.24715225268129462,0.18846153846153846,0.05869071421975616
isotonic,4,0.3,0.4,253,0.3326937406832835,0.308300395256917,0.02439334542636651
isotonic,5,0.4,0.5,439,0.47145265398427905,0.5011389521640092,0.02968629817973012
isotonic,6,0.5,0.6,1737,0.5519506003782924,0.5377086931491076,0.014241907229184725
isotonic,7,0.6,0.7,582,0.6262294355011158,0.6529209621993127,0.026691526698196966
isotonic,8,0.7,0.8,84,0.7638573912481548,0.7857142857142857,0.021856894466130927
isotonic,9,0.8,0.9,348,0.847658059373436,0.8448275862068966,0.0028304731665393934
isotonic,10,0.9,1.0,142,0.9646269061738851,0.9577464788732394,0.006880427300645753
