metric,point_estimate,ci_lower_95,ci_upper_95,successful_bootstraps,bootstrap_unit
accuracy,0.7429256594724221,0.7311437522896932,0.7551839003413431,2000,series_id
auc,0.808255446182,0.7961944420899766,0.8201854083150906,2000,series_id
log_loss,0.5240626574288818,0.510783912472974,0.5370709609687583,2000,series_id
brier_score,0.1760026226340809,0.17034180451211384,0.18146817132940007,2000,series_id
ece10,0.014190844077173683,0.012311291713171761,0.03167564388156048,2000,series_id
