first_kill_time_band,rounds,series,ct_win_rate,accuracy,accuracy_ci_lower_95,accuracy_ci_upper_95,accuracy_successful_bootstraps,auc,auc_ci_lower_95,auc_ci_upper_95,auc_successful_bootstraps,log_loss,log_loss_ci_lower_95,log_loss_ci_upper_95,log_loss_successful_bootstraps,brier_score,brier_score_ci_lower_95,brier_score_ci_upper_95,brier_score_successful_bootstraps,ece10,ece10_ci_lower_95,ece10_ci_upper_95,ece10_successful_bootstraps
normal_15_30,1559,79,0.5439384220654265,0.7633098139833226,0.7455642244749481,0.7812089770379123,2000,0.817339715521588,0.7990058075789277,0.8354862147569624,2000,0.5122726778666848,0.48963696342389906,0.5354798682530366,2000,0.16987378206109752,0.16072349213700873,0.17877184862184917,2000,0.02149697790400075,0.017499661431073458,0.0492401071828522,2000
late_30_60,1208,79,0.49834437086092714,0.7408940397350994,0.7168892402321754,0.7649414333075372,2000,0.804447222130851,0.7807218186620803,0.8280293812991908,2000,0.5285298622446846,0.5033200109929641,0.5557759297759057,2000,0.17783487777397605,0.16730289051945782,0.18866815126446448,2000,0.025477338661030684,0.02126820037279706,0.058820329492892204,2000
fast_00_15,792,78,0.5202020202020202,0.7133838383838383,0.6894482550605479,0.739428446876371,2000,0.7895503321410322,0.7631288857617549,0.8180593054208094,2000,0.5433811761297744,0.5132216935670492,0.5715409870568835,2000,0.1857751102755268,0.17244113628264535,0.1974805521197539,2000,0.04797384980148029,0.03638301681655858,0.08047637170195517,2000
very_late_60_plus,611,79,0.5335515548281505,0.7332242225859247,0.6921833690862709,0.7728047701632682,2000,0.8149930039823485,0.7755062414371808,0.8537497857262383,2000,0.5202720320751469,0.48432615711720284,0.5569436887302099,2000,0.17535072088655657,0.1590143481958779,0.19183238233319383,2000,0.06062189847751243,0.04448003271407217,0.09905292781883761,2000
