metric,lightgbm,xgboost,raw_difference_lightgbm_minus_xgboost,performance_advantage_lightgbm,performance_advantage_ci_lower_95,performance_advantage_ci_upper_95,ci_includes_zero,lightgbm_significantly_better,successful_bootstraps,bootstrap_unit
accuracy,0.7429256594724221,0.7441247002398081,-0.0011990407673860837,-0.0011990407673860837,-0.0034257055234568927,0.001304615966861336,True,False,2000,series_id_paired
auc,0.808255446182,0.8098368635821109,-0.0015814174001109738,-0.0015814174001109738,-0.003239393657998754,2.2128618890171136e-06,True,False,2000,series_id_paired
log_loss,0.5240626574288818,0.5231460210364541,0.0009166363924276721,-0.0009166363924276721,-0.002210047434608406,0.00040720777351023436,True,False,2000,series_id_paired
brier_score,0.1760026226340809,0.17565589988309552,0.00034672275098537875,-0.00034672275098537875,-0.0007946200542200091,8.369452702536968e-05,True,False,2000,series_id_paired
ece10,0.014190844077173683,0.015449678906791227,-0.0012588348296175434,0.0012588348296175434,-0.006454946276797274,0.005975998448573726,True,False,2000,series_id_paired
