grouped_permutation_rank,feature_group,encoded_column_count,baseline_auc,auc_decrease_mean,auc_decrease_std,auc_decrease_min,auc_decrease_max,n_repeats
1,economy,6,0.7278463079406734,0.13331884163804028,0.00908355172721044,0.11370845650026529,0.14817350504216542,20
2,armor_utility,10,0.7278463079406734,0.010098014463053539,0.0036484196702801547,0.003594570089048732,0.01781482204989082,20
3,weapons,15,0.7278463079406734,0.0038067911666273047,0.00205345457490304,0.0013682356475201995,0.008692022468597127,20
4,score,3,0.7278463079406734,0.002963953861237162,0.0017914618376531197,-0.00108097411835828,0.006745347607182817,20
5,context,9,0.7278463079406734,0.002013906038066837,0.0009629713732368692,0.0005191209751135295,0.004024540934422172,20
