gain_rank,feature,gain,split_count,gain_normalized,deployment_tree_count,available_tree_count
1,eq_value_diff_ct,51031.09394979477,250,0.5616563406148349,115,115
2,helmet_diff_ct,8064.5091071128845,43,0.08875927054223474,115,115
3,grenade_diff_ct,7962.075278759003,61,0.0876318675270258,115,115
4,ct_eq_value,6213.520715713501,205,0.06838699775778861,115,115
5,t_eq_value,4645.100343704224,224,0.05112471355993964,115,115
6,armor_diff_ct,2357.81622838974,25,0.025950500610128095,115,115
7,rifle_diff_ct,2329.6167044639587,53,0.02564013216239666,115,115
8,ct_armor,1301.673595905304,46,0.014326426732501325,115,115
9,score_diff_ct,940.7310609817505,90,0.010353835756167364,115,115
10,t_armor,612.6866326332092,25,0.00674332657589007,115,115
11,cash_diff_ct,547.4904899597168,65,0.0060257674549309605,115,115
12,t_cash,546.0565390586853,65,0.006009985163128887,115,115
13,ct_cash,517.580099105835,57,0.005696568933537745,115,115
14,ct_m4a1_s,473.9999203681946,36,0.00521691855141573,115,115
15,round_num,346.0315308570862,39,0.0038084780927829195,115,115
16,ct_grenades,290.6793403625488,28,0.0031992630759784028,115,115
17,map_name_de_inferno,264.9629592895508,26,0.002916224493628459,115,115
18,t_rifles,242.49182224273682,20,0.002668903583447996,115,115
19,t_score,230.96698999404907,28,0.0025420594457666434,115,115
20,t_grenades,181.09827184677124,22,0.0019931963982037504,115,115
21,t_helmets,158.46110010147095,8,0.001744048083710562,115,115
22,ct_score,142.91528940200806,19,0.001572948417339675,115,115
23,smg_diff_ct,138.69755125045776,15,0.00152652732007294,115,115
24,ct_m4a4,129.91482019424438,17,0.0014298631844678888,115,115
25,map_name_de_overpass,112.93779945373535,14,0.0012430113926360814,115,115
26,ct_helmets,111.75121974945068,11,0.001229951707589705,115,115
27,ct_defuse_kits,106.12253904342651,12,0.0011680015520444391,115,115
28,t_ak47,101.0076003074646,13,0.001111705722373694,115,115
29,ct_smgs,96.87312030792236,11,0.001066200977576871,115,115
30,map_name_de_vertigo,95.48622035980225,13,0.0010509365360497815,115,115
31,map_name_de_dust2,92.42802047729492,12,0.0010172775014900357,115,115
32,map_name_de_ancient,77.5803599357605,10,0.0008538617868542916,115,115
33,ct_ak47,73.67769956588745,9,0.0008109084857911807,115,115
34,ct_rifles,60.51763963699341,5,0.0006660667720468827,115,115
35,awp_diff_ct,58.81326913833618,7,0.000647308199121335,115,115
36,t_smgs,55.270390033721924,7,0.0006083147079158342,115,115
37,map_name_de_nuke,51.976749420166016,7,0.0005720643752043668,115,115
38,ct_awp,47.272589683532715,6,0.0005202896445676992,115,115
39,t_awp,22.801030158996582,3,0.0002509517662692005,115,115
40,t_m4a4,17.481670379638672,2,0.0001924060460652166,115,115
41,map_name_de_train,6.049230098724365,1,6.657878908355849e-05,115,115
42,map_name_de_mirage,0.0,0,0.0,115,115
43,t_m4a1_s,0.0,0,0.0,115,115
