grouped_permutation_rank,feature_group,encoded_column_count,baseline_auc,auc_decrease_mean,auc_decrease_std,auc_decrease_min,auc_decrease_max,n_repeats
1,eq_value_diff_ct,1,0.7278463079406734,0.07434433189464522,0.006527922966272718,0.06258108745650759,0.08783464701155863,20
2,helmet_diff_ct,1,0.7278463079406734,0.003991702818157606,0.0020246621054692067,-0.0003359831116943601,0.007626252248333909,20
3,ct_eq_value,1,0.7278463079406734,0.002855338134693569,0.001367029273691964,0.0006812958881287079,0.005905677780562613,20
4,ct_m4a1_s,1,0.7278463079406734,0.0024844206116942267,0.00127918668697438,5.263773810226802e-05,0.0050408984858759665,20
5,score_diff_ct,1,0.7278463079406734,0.0023151620643391433,0.00174866756705057,-0.0016937372840126752,0.005684990896089981,20
6,t_eq_value,1,0.7278463079406734,0.0021743762715986823,0.0021780855565254388,-0.002573144571563546,0.00598757150439333,20
7,map_name,8,0.7278463079406734,0.001779806320767152,0.0011931180633476916,-0.0004050917393997322,0.003582245717107857,20
8,ct_armor,1,0.7278463079406734,0.001145412154641079,0.0012433873037884292,-0.000782079303532579,0.0033533809783569124,20
9,armor_diff_ct,1,0.7278463079406734,0.0009197609670784368,0.0011764920686943056,-0.002283694602524089,0.0026347664312672547,20
10,rifle_diff_ct,1,0.7278463079406734,0.0008363641305949798,0.0012012495311871047,-0.0015565566580174606,0.003028455247095496,20
11,ct_helmets,1,0.7278463079406734,0.0003655788815090211,0.00024265858711478383,-5.160110868684953e-05,0.0008486539482218669,20
12,t_armor,1,0.7278463079406734,0.0003213320826206567,0.0009748670232396546,-0.00172080482986392,0.002130734173202642,20
13,t_grenades,1,0.7278463079406734,0.0002194371701214226,0.0001748049475153688,-0.0001785306215722482,0.0005988262590670423,20
14,t_helmets,1,0.7278463079406734,0.0001557996421094221,0.00010023754723782521,1.036629415585022e-05,0.00034565831957300563,20
15,ct_rifles,1,0.7278463079406734,9.80939379753909e-05,9.343076731305602e-05,-0.0001129926062982678,0.00022540930736558717,20
16,grenade_diff_ct,1,0.7278463079406734,7.517866883875457e-05,0.0007142348208660057,-0.0013993345299877502,0.001515206662440205,20
17,t_rifles,1,0.7278463079406734,7.479857138635304e-05,0.00038174849531373876,-0.0005091002240963372,0.000687515664622218,20
18,round_num,1,0.7278463079406734,7.065781277634797e-05,0.0001770949973792384,-0.0003047690481807752,0.00035901932092941014,20
19,ct_cash,1,0.7278463079406734,4.51336929438495e-05,0.0003588365058150088,-0.0005914546721119684,0.0009100454458335072,20
20,t_awp,1,0.7278463079406734,3.412814398173758e-05,2.788925600759594e-05,-1.036629415585022e-05,9.698244087974484e-05,20
21,ct_ak47,1,0.7278463079406734,2.261579841653649e-05,0.00011720633481919292,-0.0002491366028779529,0.00020559816742349302,20
22,ct_awp,1,0.7278463079406734,1.9828417099093664e-05,8.04154873100552e-05,-0.00016079274046121306,0.00019615332163713806,20
23,awp_diff_ct,1,0.7278463079406734,1.885513725887189e-05,0.00011081459508304114,-0.00024015248127629008,0.0001864781137582705,20
24,ct_m4a4,1,0.7278463079406734,1.487563211349241e-05,0.00026372122644995006,-0.0004207563616795973,0.000700646303886332,20
25,t_ak47,1,0.7278463079406734,3.7894564191065515e-06,0.00015312418366880787,-0.00026756557026619276,0.00028587935660784325,20
26,cash_diff_ct,1,0.7278463079406734,3.2884188682413828e-06,0.00030426348744068535,-0.0007296719275226016,0.0006127631656542842,20
27,t_m4a1_s,1,0.7278463079406734,0.0,0.0,0.0,0.0,20
28,t_m4a4,1,0.7278463079406734,-1.1166802426820776e-05,6.195699151739168e-05,-0.0001177150291915563,0.00014743173910469753,20
29,t_smgs,1,0.7278463079406734,-1.5267247670663896e-05,6.319038863788362e-05,-0.00012854204753209864,0.00011529622722172839,20
30,t_score,1,0.7278463079406734,-3.825738448732241e-05,0.00019635022526085544,-0.0003484226646813804,0.0003562549758211464,20
31,ct_grenades,1,0.7278463079406734,-5.333458343168007e-05,0.0002791909548804422,-0.0006219776493484597,0.0006308465899038662,20
32,ct_smgs,1,0.7278463079406734,-7.519018694350788e-05,0.00017658139289594924,-0.0003916155569971824,0.00019131571769759326,20
33,t_cash,1,0.7278463079406734,-7.573729691284781e-05,0.0004898738336752096,-0.0009259404302058849,0.0009426416819011685,20
34,ct_score,1,0.7278463079406734,-8.081678104920886e-05,0.0001744073944688253,-0.00039184591908947297,0.0002379640413987527,20
35,smg_diff_ct,1,0.7278463079406734,-0.00015792473241147965,0.00014894598541252655,-0.0004811112298757081,7.912937872256443e-05,20
36,ct_defuse_kits,1,0.7278463079406734,-0.0003200478139559704,0.0002476631609806687,-0.0007546662145427874,0.000137756531225941,20
