source_feature,feature_group,encoded_column_count,gain_normalized,split_count,mean_abs_shap,grouped_auc_decrease_mean,grouped_auc_decrease_std,source_gain_rank,source_shap_rank,source_permutation_rank,mean_rank
eq_value_diff_ct,economy,1,0.5616563406148349,250,0.44227361601285065,0.07434433189464522,0.006527922966272718,1,1,1,1.0
helmet_diff_ct,armor_utility,1,0.08875927054223474,43,0.10476126036253293,0.003991702818157606,0.0020246621054692067,2,4,2,2.6666666666666665
ct_eq_value,economy,1,0.06838699775778861,205,0.10736698719199095,0.002855338134693569,0.001367029273691964,4,2,3,3.0
t_eq_value,economy,1,0.05112471355993964,224,0.10501395829436123,0.0021743762715986823,0.0021780855565254388,5,3,6,4.666666666666667
ct_armor,armor_utility,1,0.014326426732501325,46,0.04128201535636496,0.001145412154641079,0.0012433873037884292,8,7,8,7.666666666666667
rifle_diff_ct,weapons,1,0.02564013216239666,53,0.043106990552797216,0.0008363641305949798,0.0012012495311871047,7,6,10,7.666666666666667
score_diff_ct,score,1,0.010353835756167364,90,0.029448266809974553,0.0023151620643391433,0.00174866756705057,9,9,5,7.666666666666667
grenade_diff_ct,armor_utility,1,0.0876318675270258,61,0.06526352374120256,7.517866883875457e-05,0.0007142348208660057,3,5,16,8.0
map_name,context,8,0.007719954874946575,83,0.038021993332593026,0.001779806320767152,0.0011931180633476916,10,8,7,8.333333333333334
armor_diff_ct,armor_utility,1,0.025950500610128095,25,0.026840052686476077,0.0009197609670784368,0.0011764920686943056,6,11,9,8.666666666666666
ct_m4a1_s,weapons,1,0.00521691855141573,36,0.02720929854130908,0.0024844206116942267,0.00127918668697438,15,10,4,9.666666666666666
t_armor,armor_utility,1,0.00674332657589007,25,0.020237407760482225,0.0003213320826206567,0.0009748670232396546,11,12,12,11.666666666666666
ct_cash,economy,1,0.005696568933537745,57,0.006948286025231961,4.51336929438495e-05,0.0003588365058150088,14,14,19,15.666666666666666
t_rifles,weapons,1,0.002668903583447996,20,0.004957193314051593,7.479857138635304e-05,0.00038174849531373876,18,16,17,17.0
cash_diff_ct,economy,1,0.0060257674549309605,65,0.006007977754783977,3.2884188682413828e-06,0.00030426348744068535,12,15,26,17.666666666666668
ct_helmets,armor_utility,1,0.001229951707589705,11,0.004101646322554995,0.0003655788815090211,0.00024265858711478383,25,18,11,18.0
t_grenades,armor_utility,1,0.0019931963982037504,22,0.00322708310794134,0.0002194371701214226,0.0001748049475153688,20,24,13,19.0
t_helmets,armor_utility,1,0.001744048083710562,8,0.003269534963001075,0.0001557996421094221,0.00010023754723782521,21,23,14,19.333333333333332
round_num,context,1,0.0038084780927829195,39,0.0030269219900856646,7.065781277634797e-05,0.0001770949973792384,16,25,18,19.666666666666668
t_cash,economy,1,0.006009985163128887,65,0.00952160419425922,-7.573729691284781e-05,0.0004898738336752096,13,13,33,19.666666666666668
ct_grenades,armor_utility,1,0.0031992630759784028,28,0.003702700450714449,-5.333458343168007e-05,0.0002791909548804422,17,20,31,22.666666666666668
t_ak47,weapons,1,0.001111705722373694,13,0.004158608635909235,3.7894564191065515e-06,0.00015312418366880787,27,17,25,23.0
ct_m4a4,weapons,1,0.0014298631844678888,17,0.003307859886541971,1.487563211349241e-05,0.00026372122644995006,24,22,24,23.333333333333332
ct_rifles,weapons,1,0.0006660667720468827,5,0.0018004728046926506,9.80939379753909e-05,9.343076731305602e-05,30,30,15,25.0
ct_score,score,1,0.001572948417339675,19,0.0038938138000721234,-8.081678104920886e-05,0.0001744073944688253,22,19,34,25.0
t_score,score,1,0.0025420594457666434,28,0.0026471305787654133,-3.825738448732241e-05,0.00019635022526085544,19,27,30,25.333333333333332
ct_ak47,weapons,1,0.0008109084857911807,9,0.0026320097712086506,2.261579841653649e-05,0.00011720633481919292,29,28,21,26.0
smg_diff_ct,weapons,1,0.00152652732007294,15,0.003557567553552706,-0.00015792473241147965,0.00014894598541252655,23,21,35,26.333333333333332
awp_diff_ct,weapons,1,0.000647308199121335,7,0.001463536087363548,1.885513725887189e-05,0.00011081459508304114,31,32,23,28.666666666666668
ct_awp,weapons,1,0.0005202896445676992,6,0.0015058939779369947,1.9828417099093664e-05,8.04154873100552e-05,33,31,22,28.666666666666668
ct_defuse_kits,armor_utility,1,0.0011680015520444391,12,0.0027273037130354123,-0.0003200478139559704,0.0002476631609806687,26,26,36,29.333333333333332
t_awp,weapons,1,0.0002509517662692005,3,0.0008426263655148248,3.412814398173758e-05,2.788925600759594e-05,34,34,20,29.333333333333332
ct_smgs,weapons,1,0.001066200977576871,11,0.001963392830448641,-7.519018694350788e-05,0.00017658139289594924,28,29,32,29.666666666666668
t_smgs,weapons,1,0.0006083147079158342,7,0.0010337597757530338,-1.5267247670663896e-05,6.319038863788362e-05,32,33,29,31.333333333333332
t_m4a4,weapons,1,0.0001924060460652166,2,0.00035569301737692084,-1.1166802426820776e-05,6.195699151739168e-05,35,35,28,32.666666666666664
t_m4a1_s,weapons,1,0.0,0,0.0,0.0,0.0,36,36,27,33.0
