method,feature_count,spearman_rank,top_n,top_overlap_count,top_union_count,top_jaccard
gain,43,0.7304439746300211,10,8,12,0.6666666666666666
permutation_auc,43,0.7512836001208095,10,9,11,0.8181818181818182
tree_shap,43,0.865901540320145,10,9,11,0.8181818181818182
mean_rank,43,0.8346686028175825,10,9,11,0.8181818181818182
