shap_rank,feature,mean_abs_shap,mean_signed_shap,max_abs_shap
1,eq_value_diff_ct,0.42546678,-0.032657463,1.3157325
2,ct_eq_value,0.14675304,-0.015958725,1.3667505
3,t_eq_value,0.09583907,0.027399374,1.6088154
4,helmet_diff_ct,0.06952645,-0.004545648,0.29621968
5,grenade_diff_ct,0.04690662,-0.004516349,0.19248514
6,ct_m4a1_s,0.03657459,-0.0026827028,0.07689801
7,ct_armor,0.036168758,-0.0041316184,0.2471351
8,rifle_diff_ct,0.03392045,0.002826145,0.1837273
9,score_diff_ct,0.03251254,-0.0005163608,0.101646066
10,t_rifles,0.024745569,0.0034965968,0.087502085
11,map_name_de_inferno,0.023140453,-0.0045176195,0.07631819
12,t_armor,0.021522673,0.0029086352,0.27052805
13,armor_diff_ct,0.017964372,0.00076712586,0.09552264
14,map_name_de_overpass,0.0076518585,-0.0001330412,0.040392373
15,map_name_de_dust2,0.006060516,0.0009432106,0.031725615
16,map_name_de_nuke,0.0034101182,8.408025e-05,0.013821727
17,ct_score,0.0027355056,1.3372797e-05,0.032536045
18,map_name_de_ancient,0.002667459,3.439597e-06,0.030350465
19,t_helmets,0.0023834284,0.00048537485,0.011138486
20,t_grenades,0.0020417613,0.0006316796,0.027191285
21,ct_rifles,0.0019519841,-0.00043310353,0.00732718
22,t_cash,0.0018258549,-0.00013985446,0.02726021
23,cash_diff_ct,0.0016193794,0.0004214464,0.0150962155
24,smg_diff_ct,0.0014355636,0.00012013226,0.007942765
25,ct_m4a4,0.0012809722,-0.0001033775,0.026673224
26,t_ak47,0.0012667462,0.00081668614,0.011932825
27,round_num,0.0009650337,0.00017764934,0.06693934
28,t_score,0.00090525777,-8.3001716e-05,0.0108005665
29,ct_smgs,0.00078144553,8.644247e-05,0.0094842
30,ct_ak47,0.0006926324,-1.4352108e-06,0.0025018614
31,ct_cash,0.0006407566,0.00016099497,0.029400494
32,ct_defuse_kits,0.0004183299,-2.6620311e-05,0.008296423
33,ct_helmets,0.0003661417,3.6023503e-05,0.002846886
34,map_name_de_train,0.00025432638,4.701513e-06,0.0050951503
35,map_name_de_vertigo,0.00024013771,4.6423655e-05,0.0052351067
36,awp_diff_ct,0.00019094975,1.592504e-06,0.0057598487
37,ct_awp,0.00013762848,-6.3596244e-06,0.0046543176
38,t_m4a4,0.00013164598,-6.145465e-05,0.015399727
39,ct_grenades,0.0,0.0,0.0
40,map_name_de_mirage,0.0,0.0,0.0
41,t_awp,0.0,0.0,0.0
42,t_m4a1_s,0.0,0.0,0.0
43,t_smgs,0.0,0.0,0.0
