feature,gain_rank,gain_normalized,permutation_rank,auc_decrease_mean,auc_decrease_std,shap_rank,mean_abs_shap,mean_rank
eq_value_diff_ct,2,0.16323619006845652,1,0.07640982176424185,0.008659930340440311,1,0.42546678,1.3333333333333333
ct_eq_value,7,0.03770268776041791,2,0.011400164985330485,0.00297898864445906,2,0.14675304,3.6666666666666665
helmet_diff_ct,3,0.15942564784300292,4,0.0029206976193459242,0.0016226702815249916,4,0.06952645,3.6666666666666665
t_eq_value,11,0.021567763194395805,3,0.004556118739679721,0.0024610513167130257,3,0.09583907,5.666666666666667
grenade_diff_ct,1,0.2658428451593336,12,0.0003919438229786687,0.001303923554962579,5,0.04690662,6.0
ct_armor,8,0.03102460585435304,8,0.0009235504234976266,0.0013562237943081574,7,0.036168758,7.666666666666667
ct_m4a1_s,12,0.008604809952389821,6,0.0019055840231909482,0.0011184080703880083,6,0.03657459,8.0
t_rifles,5,0.06117982242617898,10,0.000700467773264668,0.0010712976488710172,10,0.024745569,8.333333333333334
armor_diff_ct,4,0.06376125633514752,11,0.0005672205799964025,0.0007586212776080414,13,0.017964372,9.333333333333334
score_diff_ct,14,0.005382042562823952,5,0.0020324329093441675,0.0012941745318412543,9,0.03251254,9.333333333333334
t_armor,9,0.02857651520859732,9,0.0008347861502623732,0.0009608906706110417,12,0.021522673,10.0
map_name_de_inferno,13,0.005616862207775842,7,0.0014837104053635087,0.0007561233313196647,11,0.023140453,10.333333333333334
rifle_diff_ct,10,0.026313856703705348,13,0.0003423929369138934,0.0010552984070967652,8,0.03392045,10.333333333333334
t_helmets,6,0.04304800987955766,18,4.523735588538025e-05,0.00014117451382362497,19,0.0023834284,14.333333333333334
map_name_de_ancient,24,0.003441078177895594,14,0.00019560621166765934,0.0001433511523994168,18,0.002667459,18.666666666666668
map_name_de_overpass,27,0.0031205236478582064,15,0.00014718985890775914,0.0002745482073512337,14,0.0076518585,18.666666666666668
t_grenades,20,0.0043631525721892096,17,7.954403048882064e-05,0.00016805762644959244,20,0.0020417613,19.0
map_name_de_nuke,26,0.0033470574289712713,16,0.00010562677839529022,0.0001294209645391896,16,0.0034101182,19.333333333333332
smg_diff_ct,15,0.00531981354156202,24,7.780479669072804e-06,4.0399650967572026e-05,24,0.0014355636,21.0
ct_ak47,17,0.004980043784964407,20,2.4809997346164625e-05,3.8362022244737034e-05,30,0.0006926324,22.333333333333332
ct_rifles,16,0.005146457639726499,35,-3.236587397603685e-06,6.531554372385593e-05,21,0.0019519841,24.0
map_name_de_dust2,18,0.0044724303775481936,39,-1.7628459117235984e-05,0.00025020916671613486,15,0.006060516,24.0
t_cash,30,0.0026737600539470294,25,6.1276316564773395e-06,7.374742600407873e-05,22,0.0018258549,25.666666666666668
t_ak47,29,0.002727087408118077,27,3.5533352744421264e-06,0.00010475674848415906,26,0.0012667462,27.333333333333332
round_num,35,0.002074038260241188,21,2.403252528450639e-05,2.9294443504879392e-05,27,0.0009650337,27.666666666666668
ct_helmets,23,0.0035778718545971355,28,1.5146307571600737e-06,2.4574660348744506e-05,33,0.0003661417,28.0
cash_diff_ct,19,0.00444437656313487,43,-0.00013818846014927445,7.916147767134926e-05,23,0.0016193794,28.333333333333332
map_name_de_vertigo,28,0.0028569086431299647,23,9.272074217103743e-06,9.742131089045476e-06,35,0.00024013771,28.666666666666668
ct_m4a4,21,0.004007827850281445,42,-0.00010077189729911784,9.953802399673664e-05,25,0.0012809722,29.333333333333332
ct_score,32,0.0025052960198657047,40,-3.270565806164916e-05,9.927102482803277e-05,17,0.0027355056,29.666666666666668
ct_smgs,22,0.0038514854389703882,38,-1.5457296396848008e-05,2.725076450537401e-05,29,0.00078144553,29.666666666666668
t_score,25,0.003432320572958335,36,-4.9988574040871205e-06,4.871305076361508e-05,28,0.00090525777,29.666666666666668
t_m4a4,34,0.002313120229663219,19,2.5478047413957094e-05,6.74374412093777e-05,38,0.00013164598,30.333333333333332
map_name_de_train,36,0.0018666668273834045,22,1.6793396532366333e-05,2.4907580990167885e-05,34,0.00025432638,30.666666666666668
ct_awp,38,0.001475387564483909,26,4.232903446860225e-06,2.8342212129871568e-05,37,0.00013762848,33.666666666666664
ct_cash,33,0.0024966778970714073,37,-9.738557454186392e-06,3.319753689693432e-05,31,0.0006407566,33.666666666666664
awp_diff_ct,37,0.0015895759740043509,29,6.219776493288087e-07,1.2148188131653558e-06,36,0.00019094975,34.0
ct_defuse_kits,31,0.0026341265152979598,41,-8.310312481578652e-05,3.75955328086319e-05,32,0.0004183299,34.666666666666664
ct_grenades,39,0.0,30,0.0,0.0,39,0.0,36.0
map_name_de_mirage,40,0.0,31,0.0,0.0,40,0.0,37.0
t_awp,41,0.0,32,0.0,0.0,41,0.0,38.0
t_m4a1_s,42,0.0,33,0.0,0.0,42,0.0,39.0
t_smgs,43,0.0,34,0.0,0.0,43,0.0,40.0
