stage,task,model,prediction_point,accuracy,auc,log_loss,brier_score,ece10
M6,pre_round,xgboost_m6,"purchase complete, before combat",0.6462128475551294,0.7219999483988914,0.5937592618454948,,
M14,pre_round,xgboost_tuned,"purchase complete, before combat",0.6474113135186961,0.7271219343412749,0.5917331887919193,0.20529449849711118,0.023197745861465936
M16,post_first_kill,logistic_regression,immediately after first valid enemy kill,0.7434052757793765,0.8090589528793879,0.5266419675805064,0.1760703339941788,0.0150166076035009
M16,post_first_kill,xgboost_untuned,immediately after first valid enemy kill,0.7453237410071942,0.8088959225349904,0.5247534331448958,0.1762645347408764,0.0109083502633805
M21,post_first_kill,xgboost_tuned_frozen,immediately after first valid enemy kill,0.7441247002398081,0.8098368635821109,0.5231460210364541,0.17565589988309552,0.01544967890679123
