phase_order,phase,candidate_order,candidate_id,candidate_label,is_incumbent,changed_parameter,parameter_value,best_iteration,best_tree_count,elapsed_seconds,train_accuracy,train_log_loss,train_brier_score,train_ece10,train_auc,val_accuracy,val_log_loss,val_brier_score,val_ece10,val_auc,selected
1,num_leaves,0,num_leaves_7,7,False,num_leaves,7,294,294,0.29035079999812297,0.7513426234687072,0.5124818341332759,0.17137735399936968,0.015709850523537176,0.8206164491054324,0.7433078393881453,0.5286639291650662,0.17780404214052717,0.010194873711729474,0.8025867634642823,False
1,num_leaves,1,num_leaves_15,15,True,num_leaves,15,160,160,0.2521826999982295,0.7533082944294289,0.510153733286873,0.1703240123702261,0.018228239922144257,0.8235542888109877,0.744263862332696,0.5287059883832941,0.17784299202054596,0.013877236394123901,0.8028628624398364,True
1,num_leaves,2,num_leaves_31,31,False,num_leaves,31,131,131,0.313027799998963,0.7584681807013233,0.5002420734317216,0.16610387491582243,0.03611215323247369,0.836721997384464,0.7445028680688337,0.5294062371662495,0.1780527856592808,0.014143216532014648,0.8024650066008815,False
1,num_leaves,3,num_leaves_63,63,False,num_leaves,63,152,152,0.473971999999776,0.7687177507108006,0.47055942469446926,0.15417849102361064,0.07233633546339066,0.8676487411696059,0.745697896749522,0.5310753594608612,0.1787308077705161,0.017177116361029567,0.8001367546906681,False
2,max_depth,0,max_depth_-1,-1,True,max_depth,-1,160,160,0.2510130000009667,0.7533082944294289,0.510153733286873,0.1703240123702261,0.018228239922144257,0.8235542888109877,0.744263862332696,0.5287059883832941,0.17784299202054596,0.013877236394123901,0.8028628624398364,False
2,max_depth,1,max_depth_3,3,False,max_depth,3,211,211,0.2288183000018762,0.7508863069956826,0.5155288626129061,0.17259052482080858,0.011768078686822444,0.8167080582810696,0.7446223709369025,0.5279683493775821,0.17757493652913375,0.0105875199396616,0.8031616131874311,True
2,max_depth,2,max_depth_4,4,False,max_depth,4,172,172,0.23175429999901098,0.7521850538804451,0.512333821780491,0.171437844162909,0.014576816879476965,0.8196113561411121,0.7433078393881453,0.5286927007272825,0.17782667536264224,0.01210249184701862,0.8027811265779873,False
2,max_depth,3,max_depth_5,5,False,max_depth,5,161,161,0.24247470000045723,0.7533433956965846,0.5113558992577046,0.17090183342797688,0.01659901663795746,0.8215176731933497,0.7439053537284895,0.52866088582948,0.17783373645262088,0.01413215436239954,0.8028638959807661,False
2,max_depth,4,max_depth_6,6,False,max_depth,6,161,161,0.24670250000053784,0.7535189020323634,0.5105419748954482,0.1705123812952773,0.016840316805435056,0.8229848635949448,0.7433078393881453,0.5287656379561605,0.17785811639335275,0.013033125941353883,0.8027813275442792,False
3,min_child_samples,0,min_child_samples_10,10,False,min_child_samples,10,261,261,0.26544929999727174,0.750816104461371,0.513556916682261,0.17188072236209115,0.013797276362994194,0.8189805223720266,0.7439053537284895,0.5279572938744427,0.17757810629463083,0.011414116487954616,0.8031827720670176,False
3,min_child_samples,1,min_child_samples_20,20,True,min_child_samples,20,211,211,0.22168869999950402,0.7508863069956826,0.5155288626129061,0.17259052482080858,0.011768078686822444,0.8167080582810696,0.7446223709369025,0.5279683493775821,0.17757493652913375,0.0105875199396616,0.8031616131874311,True
3,min_child_samples,2,min_child_samples_40,40,False,min_child_samples,40,243,243,0.2435378000009223,0.7507108006599038,0.5144931218174592,0.17221107723418688,0.011461807697387484,0.817880390292114,0.7439053537284895,0.5280355951161982,0.1776228545437573,0.011287016778172735,0.8030440766161594,False
