model,split,accuracy,log_loss,brier_score,ece10,auc
xgboost_frozen,train,0.7502193829197235,0.5161161435718142,0.1727772577694808,0.011425700400916,0.8161697507710125
xgboost_frozen,val,0.7434273422562141,0.5277960858946873,0.1774675412367743,0.0119328390192338,0.8033236207281457
xgboost_frozen,test,0.7441247002398081,0.5231460210364541,0.1756558998830955,0.0154496789067912,0.8098368635821109
lightgbm_baseline,train,0.7533082944294289,0.510153733286873,0.1703240123702261,0.0182282399221442,0.8235542888109877
lightgbm_baseline,val,0.744263862332696,0.5287059883832941,0.1778429920205459,0.0138772363941239,0.8028628624398364
lightgbm_baseline,test,0.746043165467626,0.523798701954496,0.1758940137005669,0.0136218609299978,0.8090699061203482
lightgbm_tuned,train,0.7508863069956826,0.5155288626129061,0.17259052482080858,0.011768078686822444,0.8167080582810696
lightgbm_tuned,val,0.7446223709369025,0.5279683493775821,0.17757493652913375,0.0105875199396616,0.8031616131874311
lightgbm_tuned,test,0.7429256594724221,0.5240626574288818,0.1760026226340809,0.014190844077173683,0.808255446182
