,accuracy,log_loss,auc
train,0.6892924759834513,0.5598167546243366,0.7729918543457102
val,0.6515513126491647,0.5980847228985781,0.7150027327371609
test,0.6462128475551294,0.5937592618454948,0.7219999483988914
