,accuracy,log_loss,auc
train,0.6876446252015987,0.5602321515446199,0.7720621129768023
val,0.6503579952267303,0.5989627569049116,0.7134068520150131
test,0.6478906999041227,0.5938841642621421,0.7216441541472548
